UsuarioOuPerfil,PerfilNovoSugerido,Tela,BotaoOuMenu,Acao,Tabela,PermissaoLegado,Area,Criticidade,StatusEvidencia
a validar por Nivel/usuario,,"(not( (C.CodCli=G.Chave1) And (G.Arquivo=""CLIENTES"") And (Not G.Campo is null) ))","(not( (C.CodCli=G.Chave1) And (G.Arquivo=""CLIENTES"") And (Not G.Campo is null) ))",consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,(Not(Cancelado='S')) And (ObsSatSubC = ',(Not(Cancelado='S')) And (ObsSatSubC = ',cancelamento/exclusao,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,(RCDRelatrioControleDesenvolvimento1Click,(RCDRelatrioControleDesenvolvimento1Click,relatorio/impressao,a validar,a validar,relatorio,media,confirmado por UI
a validar por Nivel/usuario,,) And (A.CodSat=C.CodCli),) And (A.CodSat=C.CodCli),consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,) And (M.SeqSat=S.SeqSat,) And (M.SeqSat=S.SeqSat,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,[ Cadastros ],[ Cadastros ],inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,[ Financeiro ],[ Financeiro ],consulta/abre tela,a validar,a validar,financeira,alta,confirmado por UI
a validar por Nivel/usuario,,[UsuarioEquipe],[UsuarioEquipe],consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,*'z:\EquipExe\Ger\Dados\Clientes' C Where,*'z:\EquipExe\Ger\Dados\Clientes' C Where,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,*Cliente,*Cliente,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,"\Anotacoes"" A","\Anotacoes"" A",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\CadSatTip"" C","\CadSatTip"" C",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\Clientes"" C","\Clientes"" C",consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,"\Clientes"" I","\Clientes"" I",consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,"\Clientes"" Y","\Clientes"" Y",consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,\MovSat,\MovSat,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\MovSatAle"" M","\MovSatAle"" M",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\MovSatAle"" A","\MovSatAle"" A",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\MovSatCli""","\MovSatCli""",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\MovSatCli"" M,","\MovSatCli"" M,",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\MovSatCli"" M","\MovSatCli"" M",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\MovSatFor"" M,","\MovSatFor"" M,",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\MovSatInt"" M","\MovSatInt"" M",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\MovSatInt"" M,","\MovSatInt"" M,",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,\rcliente.txt,\rcliente.txt,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,"\Usuarios"" U","\Usuarios"" U",consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,"&'z:\Equipexe\Sat\Filial\SolAltSist' S,","&'z:\Equipexe\Sat\Filial\SolAltSist' S,",consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,"&AJUSTES EQUIPE.""Anotacoes.DB"".DesAnota","&AJUSTES EQUIPE.""Anotacoes.DB"".DesAnota",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"&AJUSTES EQUIPE.""Anotacoes.DB"".SeqAnota","&AJUSTES EQUIPE.""Anotacoes.DB"".SeqAnota",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"&AJUSTES EQUIPE.""Anotacoes.DB"".SitAnota","&AJUSTES EQUIPE.""Anotacoes.DB"".SitAnota",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,&Altera Cadastro,&Altera Cadastro,alteracao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Altera Clientes,&Altera Clientes,alteracao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Anota,&Anota,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,&Cadastro de Ajustes Autom,&Cadastro de Ajustes Autom,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Cancelamento,&Cancelamento,cancelamento/exclusao,a validar,a validar,operacional,critica,confirmado por UI
a validar por Nivel/usuario,,&Cliente,&Cliente,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Clientes,&Clientes,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Consulta,&Consulta,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,&Consulta Cadastro,&Consulta Cadastro,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Consulta Clientes,&Consulta Clientes,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Consulta Fornecedor,&Consulta Fornecedor,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,&Consulta Interessado,&Consulta Interessado,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,&Consulta Ocorr,&Consulta Ocorr,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Consulta R,&Consulta R,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,&Consultas R,&Consultas R,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,&Consultas Rapidas,&Consultas Rapidas,consulta/abre tela,a validar,a validar,operacional,baixa,confirmado por UI
a validar por Nivel/usuario,,&Entrega,&Entrega,consulta/abre tela,a validar,a validar,operacional,alta,confirmado por UI
a validar por Nivel/usuario,,&Financeiro,&Financeiro,consulta/abre tela,a validar,a validar,financeira,alta,confirmado por UI
a validar por Nivel/usuario,,&Geral Ajuste de Cadastro,&Geral Ajuste de Cadastro,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Inclui Clientes,&Inclui Clientes,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Individual Ajuste de Cadastro,&Individual Ajuste de Cadastro,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Marca o Cadastro Impresso,&Marca o Cadastro Impresso,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Menu de Clientes,&Menu de Clientes,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&pk_gera_SeqSat=,&pk_gera_SeqSat=,consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,&Procura Cadastro,&Procura Cadastro,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,&Relat,&Relat,relatorio/impressao,a validar,a validar,relatorio,media,confirmado por UI
a validar por Nivel/usuario,,&Senhas,&Senhas,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,#CancelamentodeCartoFidelidade1Click,#CancelamentodeCartoFidelidade1Click,cancelamento/exclusao,a validar,a validar,operacional,critica,confirmado por UI
a validar por Nivel/usuario,,#RCDRelatrioControleDesenvolvimento1,#RCDRelatrioControleDesenvolvimento1,relatorio/impressao,a validar,a validar,relatorio,media,confirmado por UI
a validar por Nivel/usuario,,"%'z:\EquipExe\Sat\Filial\MovSatCli' M,","%'z:\EquipExe\Sat\Filial\MovSatCli' M,",consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,<Cadastro n,<Cadastro n,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,<Nome do Cliente>,<Nome do Cliente>,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,<Produto n,<Produto n,consulta/abre tela,a validar,a validar,estoque,alta,confirmado por UI
a validar por Nivel/usuario,,=> Data do Cadastro,=> Data do Cadastro,inclusao,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,=> Grupo de Clientes 2,=> Grupo de Clientes 2,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,|LogoMarca do cliente,|LogoMarca do cliente,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,|Nome do Cliente,|Nome do Cliente,consulta/abre tela,a validar,a validar,operacional,media,confirmado por UI
a validar por Nivel/usuario,,|Qualquer Filial|?????MovSat,|Qualquer Filial|?????MovSat,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,|Senha do usu,|Senha do usu,consulta/abre tela,a validar,a validar,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,"$AJUSTES EQUIPE.""Anotacoes.DB"".Titulo","$AJUSTES EQUIPE.""Anotacoes.DB"".Titulo",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"$AJUSTES EQUIPE.""MovSatAle.DB"".CodSat","$AJUSTES EQUIPE.""MovSatAle.DB"".CodSat",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"$AJUSTES EQUIPE.""MovSatAle.DB"".DatLan","$AJUSTES EQUIPE.""MovSatAle.DB"".DatLan",consulta/abre tela,a validar,a validar,fiscal,critica,confirmado por UI
