Sistema,Executavel,MenuOuAcao,OperacaoPermissao,ModuloDominio,TipoAcao,PermissaoOrigem,Confianca,Observacao
LAVSOFT,LavSoft,"""CancelamentodeNotasIntervalo1Click",CancelamentodeNotasIntervalo1,operacional/outro,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CancelamentodeNotasIntervalo1,CancelamentodeNotasIntervalo1,operacional/outro,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CancelamentoNotaFiscal1,CancelamentoNotaFiscal1,operacional/outro,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CancelamentoNotaFiscal1Click,CancelamentoNotaFiscal1,operacional/outro,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CancelamentoNotaFiscal1,CancelamentoNotaFiscal1,operacional/outro,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CancelamentoNotaFiscal1|,CancelamentoNotaFiscal1,operacional/outro,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CancelamentoNotaFiscal1Click,CancelamentoNotaFiscal1,operacional/outro,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CartadeCobranca1,CartadeCobranca1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CartadeCobranca1Click,CartadeCobranca1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFDestravaImpressoraFiscal1,CFDestravaImpressoraFiscal1,relatorio/impressao,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFDestravaImpressoraFiscal1Click,CFDestravaImpressoraFiscal1,relatorio/impressao,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFDestravaImpressoraFiscal1P,CFDestravaImpressoraFiscal1,relatorio/impressao,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CFDestravaImpressoraFiscal1,CFDestravaImpressoraFiscal1,relatorio/impressao,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CFDestravaImpressoraFiscal1Click,CFDestravaImpressoraFiscal1,relatorio/impressao,relatorio/imprimir,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFFundodeCaixa1,CFFundodeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFFundodeCaixa1@,CFFundodeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFFundodeCaixa1Click,CFFundodeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CFFundodeCaixa1,CFFundodeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CFFundodeCaixa1Click,CFFundodeCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFLeituraMemriaFiscal1,CFLeituraMemriaFiscal1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFLeituraMemriaFiscal1Click,CFLeituraMemriaFiscal1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFLeituraMemriaFiscal1Click',CFLeituraMemriaFiscal1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CFLeituraMemriaFiscal1,CFLeituraMemriaFiscal1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CFLeituraMemriaFiscal1Click,CFLeituraMemriaFiscal1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFSangriaCaixa1,CFSangriaCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFSangriaCaixa1Click,CFSangriaCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CFSangriaCaixa1D,CFSangriaCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CFSangriaCaixa1,CFSangriaCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CFSangriaCaixa1Click,CFSangriaCaixa1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,Financeiro,Clientes Cadastros Entre,ClientesCad1,cadastro,criar/cadastrar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ClientesCad1,ClientesCad1,cadastro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CobrancaDiversas,CobrancaDiversas,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,CobrancaDiversasClick,CobrancaDiversas,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CobrancaDiversas,CobrancaDiversas,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CobrancaDiversasClick,CobrancaDiversas,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ComissaoPagamento1,ComissaoPagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ComissaoPagamento1Click,ComissaoPagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ComissoRol1,ComissoRol1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,ComissoRol1Click,ComissoRol1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CondicaodePagamento1,CondicaodePagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CondicaodePagamento1\,CondicaodePagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CondicaodePagamento1Click,CondicaodePagamento1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,ConIntEntrega1,ConIntEntrega1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,ConIntEntrega1Click,ConIntEntrega1,lavanderia/rol,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
