CodTipTec,DesTipTec,DesTipTecAbr
"001","DOBRADO","DOB"
"002","CABIDE","CAB"
"003","PACOTE","PAC"
"004","GOMA","GOM"
"005","MEIA GOMA","MEG"
"006","SEM VINCO","SEV"
"007","COM VINCO","COV"
"008","CONSERTO","CON"
"100","SEM DEFINIÇÃO",""
