CodSerLav,DesSerLav
"221","TROCAR FORRO MANGAS"
"222","COLOCAR FORRO SIMPLE"
"223","COLOCAR FORRO RODADO"
"224","SUBIR OMBRO AGASALHO"
"225","PREGAR BOTÃO"
"226","PREGAR BOTAO METAL"
"227","CADARÇO NAS LATERAIS"
"228","BARRA RODADA LENÇO"
"229","AJUSTE LATERA  ZIPER"
"230","FEITIO COM BARRADO"
"231","BARRA CENTRO DE MESA"
"232","TROCAR FORRO BOLSO"
"233","TIRAR MANGA E ACABAM"
"234","AJUS COSTA FORR ZIPE"
"235","FOLGAR O ELASTICO"
"236","FOLGAR ELASTICO SIMP"
"237","BARRA COLADA"
"238","FEITIO - CADA"
"239","AJUSTE COSTA C/ZIPER"
"240","FOLGAR C/ FORRO ZIPE"
"241","FOLGAR NA MANGA"
"242","BARRA FORRO OU ZIPER"
"243","ELIMINAR PREGAS"
"244","FEITIO ATE 3M BARRAD"
"245","TROCAR TULE"
"246","COLOCAR MANGA CURTA"
"247","COLOCAR MANGA COMPRI"
"248","FEITIO PEQUENO"
"249","TROC ELASTIC PRESPON"
"250","FEITIO - CAPA TV"
"251","FECHAR DECOTE C/TECI"
"252","TROCAR TULE DECOTE"
"253","FEITIO CAPA EDREDON"
"254","DESCER MANGA C ZIPER"
"255","DIMINUIR FRANZIDO"
"256","FAZER PREGAS"
"257","SUBIR OMBRO C/APLIQU"
"258","REFAZER BARRA RODADA"
"259","REFORÇO LAT BOLSO"
"260","AJ PERNAS MALHA"
"261","COLOCAR FORRO BUSTO"
"262","AUMENTAR COMPR C TEC"
"263","COLOCAR DETALHE TECI"
"264","TIRAR ELASTICO E ACA"
"265","COLOCAR PUNHO MALHA"
"266","TECIDO NAS COSTAS"
"267","FOLGAR NO GANCHO"
"268","ZIPERES NOS BOLSOS"
"269","TRANSFORMAR EM CALÇA"
"270","GARRAFA COM FITA"
"271","GARRAFA C/ VELCRO"
"272","BARRA LENÇO"
"273","FEITIO CAPA COCHONET"
"274","FEITIO SO FRENTE"
"275","FOLGAR O FRANZIDO"
"276","TROCAR CÓS DE MALHA"
"277","TROC CÓS, PUNHO MALH"
"278","AJUSTE CINTURA-COURO"
"279","BAIXAR GOLA"
"280","COLOCAR COTOVELEIRA"
"281","DIMINUIR MANGA S/FOR"
"282","COLOCAR GOLA MAO OBR"
"283","TROCAR ESPUMA"
"284","DIMINUIR MANGA C FOR"
"285","DESCER BARRA C/FORRO"
"286","DESCER BARRA S/FORRO"
"287","METRO SIMPLE R$ 70,0"
"288","METRO C/BARRADO 85,0"
"289","BARRA LENÇO COM FORR"
"290","DESCER A BARRA"
"291","FOLGAR BLAZER C/FORR"
"292","FOLGAR BLAZER S/FORR"
"293","TROCAR TULE DA MANGA"
"294","ALÇA ELASTICO COSTAS"
"295","DIM ALÇA ELAST COSTA"
"296","ABRIR GOLA ATRAS BOT"
"297","ABRIR GOLA FRENTE BO"
"298","SO PREGAR BOTAO"
"299","TIRAR OMBREIRA E ACA"
"300","COLOCAR PASSANTE"
"301","COLC PRESSAO GDE CAD"
"302","FOLGAR NA CAVA"
"303","AJUSTE CINT FORRO ZI"
"304","COLOCAR VIRA"
"305","AUMENTAR FORRO BOLSO"
"306","SUBIR MANGA P/ OMBRO"
"307","BARRA COM VIES/RENDA"
"308","FOLGAR NO BUSTO"
"309","TIRAR FRANZIDO MANGA"
"310","ELIMINAR BICO"
"311","AJUSTE DE QUADRIL"
"312","TROCAR FORRO BUSTO"
"313","VIRAR CAMISETA"
"314","DIMINUIR ELASTICO S"
"315","DIMINUIR ELASTICO PR"
"316","AUMENTAR FRANZIDO"
"317","AUMENTAR FRANZIDO BU"
"318","TROCAR VELCRO FEICHO"
"319","COLOCAR TULE DECOTE"
"320","COLOCAR NESGA C TULE"
"321","VIRAR BLUSINHA"
"322","TROCAR CÓS DE COURO"
"323","TROCAR CÓS"
"324","BARRA FLUFLU PEQUENA"
"325","BARRA FLUFLU PADRÃO"
"326","BARRA COM VIES FINO"
"327","BARRA COM VIES LARGO"
"328","FEITIO PEQ C ROLETE"
"329","FEITIO GDE C ROLETE"
"330","BARRA RODADA P/CIMA"
"331","COLOC COS C ELASTICO"
"332","COLOC COS C PASSANTE"
"333","DIMINUIR CORPO SIMPL"
"334","NESGA BOLSO SAFARI"
"335","PREGAR DETALH  BARRA"
"336","DESCER DECOTE MALHA"
"337","AJ LAT BOLSO INTERNO"
"338","FEITIO COM VIES"
"339","FEITIO COM ZIPER"
"340","COLOCAR VIES"
"341","ELIMINAR BICO C FORR"
"342","TROC ELASTICO C FOR"
"343","TROCAR ZIPER MANGAS"
"344","BARRA REDOR PEQUENO"
"345","BARRA REDOR OVER PEQ"
"346","CASEAR GOLA A MÃO BO"
"347","AJUSTE NO BUSTO"
"348","COLOCAR NESGA BARRA"
"349","ARREDONDAR GOLA"
"350","ELASTICO NAS MANGAS"
"351","COLOCAR LAPELA BOLSO"
"352","FEITIO COM ELASTICO"
"353","DIMINUIR COLARINHO"
"354","COLOC MALHA GESTANTE"
"355","VIES ZIPER/LAPELA"
"356","ZIPER CAPA CASAL"
"357","ZIPER CAPA SOLTEIRO"
"358","COLCHETE GANCHO TIRA"
"359","AUMENTAR ALÇA"
"360","COLOCAR BOLSINHO INT"
"361","POR PUNHO MALHA INFA"
"362","VIRAR SAIA C/ELASTIC"
"363","VIRAR MANGA REGATA"
"364","BARRA CANTO MITRADO"
"365","REMODELAGEM"
