Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
FunCliRouP,Ger\Dados\FunCliRouP.DB,DatPer,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatPer,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GerDadGru,Ger\Dados\GerDadGru.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GerDadGru,Ger\Dados\GerDadGru.DB,HorCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GerDadGru,Ger\Dados\GerDadGru.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes,Ger\Dados\GruClientes.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes,Ger\Dados\GruClientes.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes,Ger\Dados\GruClientes.DB,HorCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes2,Ger\Dados\GruClientes2.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes2,Ger\Dados\GruClientes2.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes2,Ger\Dados\GruClientes2.DB,HorCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes3,Ger\Dados\GruClientes3.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes3,Ger\Dados\GruClientes3.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes3,Ger\Dados\GruClientes3.DB,HorCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes4,Ger\Dados\GruClientes4.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes4,Ger\Dados\GruClientes4.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruClientes4,Ger\Dados\GruClientes4.DB,HorCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorCan,Clientes,nao confirmado,Clientes,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruFil,Ger\Dados\GruFil.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruFil,Ger\Dados\GruFil.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruFil2,Ger\Dados\GruFil2.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruFil2,Ger\Dados\GruFil2.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruFil3,Ger\Dados\GruFil3.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
GruFil3,Ger\Dados\GruFil3.DB,MotivoCan,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivoCan,Nao classificado,nao confirmado,Nao classificado,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
