Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
MovCab,Lav\FILIAL\MovCab.DB,Posicao,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.XGB;.XGC;.XGD;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA;.YGB;.YGC;.YGD,nao confirmado,nao confirmado,Posicao,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
MovCab,Lav\FILIAL\MovCab.DB,SitRol,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.XGB;.XGC;.XGD;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA;.YGB;.YGC;.YGD,nao confirmado,possivel,ROL,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
MovCab,Lav\FILIAL\MovCab.DB,PosicaoAnt,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.XGB;.XGC;.XGD;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA;.YGB;.YGC;.YGD,nao confirmado,nao confirmado,PosicaoAnt,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
MovDesc,Lav\FILIAL\MovDesc.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
MovImportacao,Lav\FILIAL\MovImportacao.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
MovItemPac,Lav\FILIAL\MovItemPac.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
MovRetirada,Lav\FILIAL\MovRetirada.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
MovTerc,Lav\FILIAL\MovTerc.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.YG0;.YG1;.YG2;.YG3;.YG4,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
MovTercPec,Lav\FILIAL\MovTercPec.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Status,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
NotFisE,Lav\FILIAL\NotFisE.DB,SitNota,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,SitNota,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
OrcCab,Lav\FILIAL\OrcCab.DB,Posicao,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA,nao confirmado,nao confirmado,Posicao,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
OrcCab,Lav\FILIAL\OrcCab.DB,SitRol,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA,nao confirmado,possivel,ROL,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
OrcCab,Lav\FILIAL\OrcCab.DB,PosicaoAnt,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA,nao confirmado,nao confirmado,PosicaoAnt,Movimentos/OS/ROL,nao confirmado,Movimentos/OS/ROL,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
CompAutoPecas,MAN\DADOS\CompAutoPecas.DB,Situacao,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,possivel,nao confirmado,Situacao,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
MovEquip,MAN\DADOS\MovEquip.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,Status,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
PrevisaoPag,PAG\FILIAL\PrevisaoPag.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Status,Financeiro,nao confirmado,Financeiro,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
FunCli,PEC\DADOS\FunCli.DB,SitFun,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5,nao confirmado,nao confirmado,SitFun,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
FunCliRou,PEC\DADOS\FunCliRou.DB,SitRoupa,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.YG0;.YG1;.YG2;.YG3;.YG4,nao confirmado,nao confirmado,SitRoupa,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
FunCliRouM,PEC\DADOS\FunCliRouM.DB,SitMan,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,SitMan,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
AvisoRoupa,PEC\FILIAL\AvisoRoupa.DB,SitAviso,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,SitAviso,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
