"Name","Source","Destination","Length","LastWriteTime","Action"
"midas.dll","D:\AtelieProd\Equipexe\Exe\midas.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\midas.dll","296448","22/01/2004 00:44:28","copied"
"MP2032.DLL","D:\AtelieProd\Equipexe\Exe\MP2032.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\MP2032.DLL","249955","19/07/2002 09:21:12","copied"
"MP20FI32.DLL","D:\AtelieProd\Equipexe\Exe\MP20FI32.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\MP20FI32.DLL","89088","01/11/1999 22:04:02","copied"
"MSJET35.dll","D:\AtelieProd\Equipexe\Exe\MSJET35.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\MSJET35.dll","1046288","13/04/1999 00:00:00","copied"
"MSVCRT.DLL","D:\AtelieProd\Equipexe\Exe\MSVCRT.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\MSVCRT.DLL","266293","23/10/1999 12:41:38","copied"
"NBioBSP.dll","D:\AtelieProd\Equipexe\Exe\NBioBSP.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\NBioBSP.dll","2060344","11/05/2006 10:20:30","copied"
"NBSP2Eng.dll","D:\AtelieProd\Equipexe\Exe\NBSP2Eng.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\NBSP2Eng.dll","1400832","27/05/2004 08:50:08","copied"
"NFSe_Util_nat.dll","D:\AtelieProd\Equipexe\Exe\NFSe_Util_nat.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\NFSe_Util_nat.dll","103424","12/10/2009 23:39:00","copied"
"NFSe_Util.dll","D:\AtelieProd\Equipexe\Exe\NFSe_Util.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\NFSe_Util.dll","202752","12/10/2009 21:50:00","copied"
"NImgConv.dll","D:\AtelieProd\Equipexe\Exe\NImgConv.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\NImgConv.dll","135168","02/05/2005 14:23:44","copied"
"NMOCOD.DLL","D:\AtelieProd\Equipexe\Exe\NMOCOD.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\NMOCOD.DLL","189952","06/06/1996 13:13:22","copied"
"NSearch.dll","D:\AtelieProd\Equipexe\Exe\NSearch.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\NSearch.dll","147456","15/04/2005 14:39:20","copied"
"ntwdblib.dll","D:\AtelieProd\Equipexe\Exe\ntwdblib.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\ntwdblib.dll","274489","06/08/2000 00:51:54","copied"
"OLEPRO32.DLL","D:\AtelieProd\Equipexe\Exe\OLEPRO32.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\OLEPRO32.DLL","164112","05/05/1999 20:22:00","copied"
"qtintf.dll","D:\AtelieProd\Equipexe\Exe\qtintf.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\qtintf.dll","4142592","22/05/2001 05:00:00","copied"
"qtintf70.dll","D:\AtelieProd\Equipexe\Exe\qtintf70.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\qtintf70.dll","4082688","09/08/2002 13:00:00","copied"
"ssleay32.dll","D:\AtelieProd\Equipexe\Exe\ssleay32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\ssleay32.dll","335360","08/03/2013 10:43:20","copied"
"SYNC20.DLL","D:\AtelieProd\Equipexe\Exe\SYNC20.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\SYNC20.DLL","106496","13/04/2004 16:03:10","copied"
"Tutil32.dll","D:\AtelieProd\Equipexe\Exe\Tutil32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\Tutil32.dll","240316","26/07/1998 11:32:34","copied"
"ZipForge.dll","D:\AtelieProd\Equipexe\Exe\ZipForge.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\ZipForge.dll","393216","13/08/2010 12:39:00","copied"
