"FileName","File","ImportedDll","Machine"
"dbexpmss.dll","D:\AtelieProd\Equipexe\Exe\dbexpmss.dll","OLEAUT32.DLL","0x014C"
"dbsrv32.dll","D:\AtelieProd\Equipexe\Exe\dbsrv32.dll","ADVAPI32.dll","0x014C"
"dbsrv32.dll","D:\AtelieProd\Equipexe\Exe\dbsrv32.dll","OLEAUT32.dll","0x014C"
"EnvEmailEquipe.exe","D:\AtelieProd\Equipexe\Exe\EnvEmailEquipe.exe","advapi32.dll","0x014C"
"EnvEmailEquipe.exe","D:\AtelieProd\Equipexe\Exe\EnvEmailEquipe.exe","oleaut32.dll","0x014C"
"EqEmail.exe","D:\AtelieProd\Equipexe\Exe\EqEmail.exe","advapi32.dll","0x014C"
"EqEmail.exe","D:\AtelieProd\Equipexe\Exe\EqEmail.exe","oleaut32.dll","0x014C"
"EqEmail.exe","D:\AtelieProd\Equipexe\Exe\EqEmail.exe","wsock32.dll","0x014C"
"EquConfig.exe","D:\AtelieProd\Equipexe\Exe\EquConfig.exe","advapi32.dll","0x014C"
"EquConfig.exe","D:\AtelieProd\Equipexe\Exe\EquConfig.exe","oleaut32.dll","0x014C"
"EquEstruAtu.exe","D:\AtelieProd\Equipexe\Exe\EquEstruAtu.exe","advapi32.dll","0x014C"
"EquEstruAtu.exe","D:\AtelieProd\Equipexe\Exe\EquEstruAtu.exe","oleaut32.dll","0x014C"
"EquEstruAtu.exe","D:\AtelieProd\Equipexe\Exe\EquEstruAtu.exe","wininet.dll","0x014C"
"EquKill.exe","D:\AtelieProd\Equipexe\Exe\EquKill.exe","advapi32.dll","0x014C"
"EquKill.exe","D:\AtelieProd\Equipexe\Exe\EquKill.exe","oleaut32.dll","0x014C"
"EquMail.exe","D:\AtelieProd\Equipexe\Exe\EquMail.exe","advapi32.dll","0x014C"
"EquMail.exe","D:\AtelieProd\Equipexe\Exe\EquMail.exe","oleaut32.dll","0x014C"
"EquMail.exe","D:\AtelieProd\Equipexe\Exe\EquMail.exe","wsock32.dll","0x014C"
"EquManut.exe","D:\AtelieProd\Equipexe\Exe\EquManut.exe","advapi32.dll","0x014C"
"EquManut.exe","D:\AtelieProd\Equipexe\Exe\EquManut.exe","oleaut32.dll","0x014C"
"EquUnit.exe","D:\AtelieProd\Equipexe\Exe\EquUnit.exe","advapi32.dll","0x014C"
