"Executavel","Categoria","Texto","Origem"
"LavSoft","financeiro"," and    ((not C.Desconto>0) or (C.Desconto="""") or (C.Desconto is null))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," and    (C.Desativado=""S"")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," and    (C.Desconto > 0)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," and    (M.Cancelado=""S"")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," and    (N.Cancelada=""S"") ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," and    (not (C.Desativado=""S""))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," and    (not (M.Cancelado=""S""))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," and    (not N.Cancelada=""S"")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," and    (not(A.Cancelado=""S"")) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," and    (not(N.Cancelada=""S"")) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and    (RolOrc is null)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","autenticacao/permissao"," and    L.""CodUsuario""=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and    M.""DatEntRol""<=:ParDatRolFinal","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and    M.""DatEntRol"">=:ParDatRolInicio","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","autenticacao/permissao"," and    M.CodUsuario=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","autenticacao/permissao"," and    N.CodUsuario=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," and    N.TipNota=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," and    UPPER(L.NomeChave)=""NUMNOTADI""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and    UPPER(L.NomeChave)=""ROL""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and   (M.Rol = MI.Rol)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and   (M.SitRol="""")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and   (not M.SitRol=""P"")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and   (Not(RolOrc is null))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and   M.""DatEntRol""<=:ParDatFimEntRol","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and   M.""DatEntRol"">=:ParDatIniEntRol","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and   M.SitRol=""P""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," and ( (not(M.DescontoRol=0)) Or (not(M.DescontoValor=0)) )","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," And ((M.NumNot = N.NumNot) or (M.NumNotAdi = N.NumNot))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," and ((M.NumNotAdi = N.NumNot) or (M.NumNot = N.NumNot))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," And (C.Desativado=""S"")","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," and (C.Desconto>0)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," And (C.DescontoAdi > 0) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," And (C.DescontoFat > 0) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," and (M.DescontoROL   > 0)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro"," and (M.DescontoValor > 0)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and (M.SitRol=""P"") ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and (not (M.SitRol=""P""))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," And (not(C.Desativado=""S""))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," And (not(M.Cancelado=""S""))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and (not(M.SitRol=""P"")) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," And (Rol=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," and (SitRol is null)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," and C.Desativado <> ""S"" ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," and C.Desativado = ""S"" ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
