"Executavel","Categoria","Texto"
"LavSoft","operacional"," foi Entregue, Utilize o F7 para Voltar ao Estoque"
"LavSoft","operacional"," Grava Rol para futuras compa"
"LavSoft","operacional"," group by O.CodCli, O.Rol, O.DatLan,O.DatEnt,O.NumOS, O.RolOrc, O.Cancelado,OI.Rol, OI.CodPro, OI.SeqPro, OI.Quantidade,OI.CodLoc, OI.Peso,OI.CodCor, C.CodCli,C.Unidade,C.EndCli,C.NomCli,P.CodPro, P.DesPro, P.TipoControle"
"LavSoft","operacional"," Group By Rol, CodPro, SeqPro"
"LavSoft","operacional"," Group By Rol,CodPro,SeqPro, CodSerTer"
"LavSoft","operacional"," Group By Rol,CodPro,SeqPro,CodSerTer,Identif,Quantidade"
"LavSoft","fiscal"," imprimir a nota mesmo assim"
"LavSoft","operacional"," Informe a altura do corte do Rol"
"LavSoft","fiscal"," INTERVALO DE NOTAS (Faturamento)"
"LavSoft","operacional"," levar os registros do controle de entrada c/ ou s/ quantidade"
"LavSoft","operacional"," localizado o Rol mais pr"
"LavSoft","operacional"," Menor que o Total do Rol, Deseja Efetuar a Diferen"
"LavSoft","fiscal"," MensagemPrFixadaNotaFiscal1Click"
"LavSoft","fiscal"," NFENotafiscaleletrnicadeservios1"
"LavSoft","operacional"," no Rol N"
"LavSoft","fiscal"," Nota"
"LavSoft","fiscal"," Nota Fiscal de "
"LavSoft","fiscal"," NOTA: "
"LavSoft","fiscal"," Nota.:"
"LavSoft","operacional"," ocupado Rol "
"LavSoft","operacional"," Ordem: Rol"
"LavSoft","autenticacao/permissao"," Order By L.CodUsuario,L.Sistema,L.Tipo,L.Data"
"LavSoft","operacional"," Order By M.CodPas,M.Rol"
"LavSoft","operacional"," Order By N.RolPrincip"
"LavSoft","autenticacao/permissao"," Order By NomUsuario"
"LavSoft","operacional"," order by O.CodCli, O.Rol "
"LavSoft","operacional"," Order By Rol"
"LavSoft","operacional"," Order By Rol,CodPro,SeqPro"
"LavSoft","operacional"," Pagar - Estoque"
"LavSoft","operacional"," Pagar - Estoque/Produ"
"LavSoft","operacional"," Pagar Estoque"
"LavSoft","operacional"," pagar varios rols..."
"LavSoft","outro"," Pago, Deseja Cancelar o Pagamento"
"LavSoft","outro"," pode ser cancelado o ultimo cupom fiscal"
"LavSoft","outro"," pode ser Cancelado, ultimo cupom fiscal"
"LavSoft","outro"," pode ser efetuado no Dia do Cancelamento,"
"LavSoft","autenticacao/permissao"," pode ser feito o cancelamento com permiss"
"LavSoft","outro"," preciso cancelar o lan"
"LavSoft","autenticacao/permissao"," protegida com senha"
"LavSoft","relatorio/impressao"," relat"
"LavSoft","operacional"," ROL      = "
"LavSoft","operacional"," Rol   Entr. "
"LavSoft","operacional"," Rol Cancelado "
"LavSoft","operacional"," Rol: "
"LavSoft","operacional"," Rol(s)"
