"CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT"
"LAVSOFT","","Defeitos1","","","",""
"LAVSOFT","","Delivery1","","","",""
"LAVSOFT","","DescontoPorc1","","","",""
"LAVSOFT","","DescontoPorc1","","","",""
"LAVSOFT","","DescontoPorc1","","","",""
"LAVSOFT","","DescontoPorc1","","","",""
"LAVSOFT","","DescontoporValor1","","","",""
"LAVSOFT","","DescontoporValor1","","","",""
"LAVSOFT","","DescontoporValor1","","","",""
"LAVSOFT","","DescontoporValor1","","","",""
"LAVSOFT","","DescontosnoRol1","","","",""
"LAVSOFT","","DescontosnoRol1","","","",""
"LAVSOFT","","DescontosnoRol1","","","",""
"LAVSOFT","","Devoluo1","","","",""
"LAVSOFT","","Devoluo1","","","",""
"LAVSOFT","","Devoluo1","","","",""
"LAVSOFT","","Devoluo1","","","",""
"LAVSOFT","","DevoluoPagamento1","","","",""
"LAVSOFT","","DevoluoPagamento1","","","",""
"LAVSOFT","","DevoluoPagamento1","","","",""
"LAVSOFT","","DevoluoPagamento1","","","",""
"LAVSOFT","","Ed_PorcDescontoPag","","","",""
"LAVSOFT","","Ed_PorcDescontoPag","","","",""
"LAVSOFT","","Ed_PorcDescontoPag","","","",""
"LAVSOFT","","Ed_PorcDescontoPag","","","",""
"LAVSOFT","","Ed_ValPag","","","",""
"LAVSOFT","","Ed_ValPag","","","",""
"LAVSOFT","","Ed_ValPag","","","",""
"LAVSOFT","","Ed_ValPag","","","",""
"LAVSOFT","","EmissaodeCartao1","","","",""
"LAVSOFT","","EmissaodeCartao1","","","",""
"LAVSOFT","","EmissaodeCartao1","","","",""
"LAVSOFT","","EmitirNotaFiscal1","","","",""
"LAVSOFT","","Encerramento1","","","",""
"LAVSOFT","","Encerramento1","","","",""
"LAVSOFT","","Encerramento1","","","",""
"LAVSOFT","","Encerramento1","","","",""
"LAVSOFT","","EncerramentoParcial1","","","",""
"LAVSOFT","","EncerramentoParcial1","","","",""
"LAVSOFT","","EncerramentoParcial1","","","",""
"LAVSOFT","","EntradaEstoque1","","","",""
"LAVSOFT","","EntradaEstoque1","","","",""
"LAVSOFT","","EntradaEstoque1","","","",""
"LAVSOFT","","EntradaEstoque1","","","",""
"LAVSOFT","","EntradaRol1","","","",""
"LAVSOFT","","EntradaRol1","","","",""
"LAVSOFT","","EntradaRol1","","","",""
"LAVSOFT","","EntradaRol1","","","",""
"LAVSOFT","","EntregaporPecas1","","","",""
"LAVSOFT","","EntregaRol","","","",""
"LAVSOFT","","EntregaVariosRol1","","","",""
"LAVSOFT","","EntregaVariosRol2","","","",""
"LAVSOFT","","EnviaEmail1","","","",""
"LAVSOFT","","EnviaEmail1","","","",""
"LAVSOFT","","EnviaEmail1","","","",""
"LAVSOFT","","EnviaEmail1","","","",""
"LAVSOFT","","Etiquetas1","","","",""
"LAVSOFT","","Etiquetas1","","","",""
"LAVSOFT","","Etiquetas1","","","",""
"LAVSOFT","","Etiquetas1","","","",""
"LAVSOFT","","ExcluiConfiguraoColunas1","","","",""
"LAVSOFT","","ExcluiConfiguraoColunas1","","","",""
