"Source","Target","RelativePath","Extension","Length","LastWriteTime","CopiedAt","ReadOnly"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadInt.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadInt.XG0","ESC\FILIAL\CadInt.XG0",".XG0","34816","15/01/2019 15:52:36","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadInt.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadInt.YG0","ESC\FILIAL\CadInt.YG0",".YG0","4096","15/01/2019 15:52:36","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMat.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadMat.DB","ESC\FILIAL\CadMat.DB",".DB","2048","15/01/2019 15:52:40","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMat.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadMat.PX","ESC\FILIAL\CadMat.PX",".PX","2048","15/01/2019 15:52:40","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMat.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadMat.XG0","ESC\FILIAL\CadMat.XG0",".XG0","34816","15/01/2019 15:52:40","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMat.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadMat.YG0","ESC\FILIAL\CadMat.YG0",".YG0","4096","15/01/2019 15:52:40","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMatComp.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadMatComp.DB","ESC\FILIAL\CadMatComp.DB",".DB","2048","15/01/2019 15:52:40","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMatComp.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadMatComp.PX","ESC\FILIAL\CadMatComp.PX",".PX","2048","15/01/2019 15:52:40","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMatComp.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadMatComp.XG0","ESC\FILIAL\CadMatComp.XG0",".XG0","34816","15/01/2019 15:52:40","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMatComp.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadMatComp.YG0","ESC\FILIAL\CadMatComp.YG0",".YG0","4096","15/01/2019 15:52:40","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadNot.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadNot.DB","ESC\FILIAL\CadNot.DB",".DB","2048","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadNot.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadNot.PX","ESC\FILIAL\CadNot.PX",".PX","2048","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadNot.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadNot.XG0","ESC\FILIAL\CadNot.XG0",".XG0","34816","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadNot.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadNot.YG0","ESC\FILIAL\CadNot.YG0",".YG0","4096","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadPre.DB","ESC\FILIAL\CadPre.DB",".DB","2048","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadPre.PX","ESC\FILIAL\CadPre.PX",".PX","2048","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadPre.XG0","ESC\FILIAL\CadPre.XG0",".XG0","34816","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.XG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadPre.XG1","ESC\FILIAL\CadPre.XG1",".XG1","34816","15/01/2019 15:52:42","23/05/2026 11:30:57","True"
