"FullName","DirectoryName","Name","Extension","Length","LastWriteTime"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Feriados.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Feriados.PX",".PX","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Feriados.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Feriados.XG0",".XG0","34816","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Feriados.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Feriados.YG0",".YG0","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Filiais.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Filiais.DB",".DB","34816","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Filiais.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Filiais.PX",".PX","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Filiais.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Filiais.XG0",".XG0","34816","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Filiais.XG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Filiais.XG1",".XG1","34816","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Filiais.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Filiais.YG0",".YG0","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Filiais.YG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Filiais.YG1",".YG1","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\ForCont.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","ForCont.DB",".DB","2048","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\ForCont.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","ForCont.PX",".PX","2048","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Forneced.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Forneced.DB",".DB","34816","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Forneced.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Forneced.PX",".PX","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Forneced.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Forneced.XG0",".XG0","34816","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Forneced.XG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Forneced.XG1",".XG1","34816","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Forneced.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Forneced.YG0",".YG0","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\Forneced.YG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","Forneced.YG1",".YG1","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FornecMar.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FornecMar.DB",".DB","2048","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FornecMar.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FornecMar.PX",".PX","2048","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FornecMar.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FornecMar.XG0",".XG0","34816","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FornecMar.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FornecMar.YG0",".YG0","4096","15/01/2019 15:56:02"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunAfastam.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunAfastam.DB",".DB","2048","29/03/2005 16:25:18"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunAfastam.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunAfastam.PX",".PX","2048","29/03/2005 16:25:18"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunAfastam.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunAfastam.XG0",".XG0","4096","29/03/2005 16:25:18"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunAfastam.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunAfastam.YG0",".YG0","4096","29/03/2005 16:25:18"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCli.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCli.DB",".DB","2048","09/11/2005 17:42:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCli.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCli.PX",".PX","2048","09/11/2005 17:42:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCli.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCli.XG0",".XG0","4096","09/11/2005 17:42:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCli.XG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCli.XG1",".XG1","4096","09/11/2005 17:42:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCli.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCli.YG0",".YG0","4096","09/11/2005 17:42:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCli.YG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCli.YG1",".YG1","4096","09/11/2005 17:42:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliCan.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliCan.DB",".DB","2048","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliCan.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliCan.PX",".PX","2048","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliCan.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliCan.XG0",".XG0","4096","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliCan.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliCan.YG0",".YG0","4096","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRou.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRou.DB",".DB","2048","09/11/2005 17:42:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRou.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRou.PX",".PX","2048","09/11/2005 17:42:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRou.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRou.XG0",".XG0","4096","09/11/2005 17:42:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRou.XG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRou.XG1",".XG1","4096","09/11/2005 17:42:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRou.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRou.YG0",".YG0","4096","09/11/2005 17:42:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRou.YG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRou.YG1",".YG1","4096","09/11/2005 17:42:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouM.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouM.DB",".DB","2048","16/05/2005 07:17:58"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouM.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouM.PX",".PX","2048","16/05/2005 07:17:58"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouM.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouM.XG0",".XG0","4096","16/05/2005 07:17:58"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouM.XG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouM.XG1",".XG1","4096","16/05/2005 07:17:58"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouM.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouM.YG0",".YG0","4096","16/05/2005 07:17:58"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouM.YG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouM.YG1",".YG1","4096","16/05/2005 07:17:58"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouP.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouP.DB",".DB","2048","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouP.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouP.PX",".PX","2048","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouP.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouP.XG0",".XG0","4096","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouP.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouP.YG0",".YG0","4096","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouUni.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouUni.DB",".DB","2048","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\FunCliRouUni.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","FunCliRouUni.PX",".PX","2048","29/03/2005 16:25:20"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadCam.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadCam.DB",".DB","34816","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadCam.MB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadCam.MB",".MB","4096","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadCam.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadCam.PX",".PX","4096","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadFlex.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadFlex.DB",".DB","2048","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadFlex.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadFlex.PX",".PX","2048","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadFlex.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadFlex.XG0",".XG0","34816","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadFlex.XG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadFlex.XG1",".XG1","34816","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadFlex.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadFlex.YG0",".YG0","4096","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadFlex.YG1","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadFlex.YG1",".YG1","4096","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadGru.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadGru.DB",".DB","2048","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadGru.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadGru.PX",".PX","2048","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadGru.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadGru.XG0",".XG0","34816","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GerDadGru.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GerDadGru.YG0",".YG0","4096","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes.DB",".DB","34816","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes.PX",".PX","4096","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes.XG0",".XG0","34816","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes.YG0",".YG0","4096","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes2.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes2.DB",".DB","2048","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes2.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes2.PX",".PX","2048","15/01/2019 15:56:06"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes2.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes2.XG0",".XG0","34816","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes2.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes2.YG0",".YG0","4096","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes3.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes3.DB",".DB","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes3.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes3.PX",".PX","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes3.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes3.XG0",".XG0","34816","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes3.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes3.YG0",".YG0","4096","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes4.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes4.DB",".DB","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes4.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes4.PX",".PX","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes4.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes4.XG0",".XG0","34816","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruClientes4.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruClientes4.YG0",".YG0","4096","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil.DB",".DB","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil.PX",".PX","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil.XG0",".XG0","34816","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil.YG0",".YG0","4096","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil2.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil2.DB",".DB","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil2.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil2.PX",".PX","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil2.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil2.XG0",".XG0","34816","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil2.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil2.YG0",".YG0","4096","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil3.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil3.DB",".DB","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil3.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil3.PX",".PX","2048","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil3.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil3.XG0",".XG0","34816","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFil3.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFil3.YG0",".YG0","4096","15/01/2019 15:56:08"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor.DB",".DB","34816","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor.PX",".PX","4096","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor.XG0",".XG0","34816","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor.YG0",".YG0","4096","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor2.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor2.DB",".DB","2048","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor2.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor2.PX",".PX","2048","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor2.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor2.XG0",".XG0","34816","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor2.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor2.YG0",".YG0","4096","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor3.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor3.DB",".DB","2048","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor3.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor3.PX",".PX","2048","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor3.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor3.XG0",".XG0","34816","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor3.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor3.YG0",".YG0","4096","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor4.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor4.DB",".DB","2048","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor4.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor4.PX",".PX","2048","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor4.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor4.XG0",".XG0","34816","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruFor4.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruFor4.YG0",".YG0","4096","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruMiniLav.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruMiniLav.DB",".DB","2048","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruMiniLav.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruMiniLav.PX",".PX","2048","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruMiniLav.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruMiniLav.XG0",".XG0","34816","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruMiniLav.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruMiniLav.YG0",".YG0","4096","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruPro.DB","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruPro.DB",".DB","34816","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruPro.PX","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruPro.PX",".PX","4096","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruPro.XG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruPro.XG0",".XG0","34816","15/01/2019 15:56:10"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\GruPro.YG0","D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS","GruPro.YG0",".YG0","4096","15/01/2019 15:56:10"
