"TableName","RelativePath","Directory","Length","ColumnCount","Extracted","ExtractedAt"
"TpVendas","EST\DADOS\TpVendas.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS","2048","8","True","23/05/2026 11:38:55"
"CliContEst","EST\FILIAL\CliContEst.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","15","True","23/05/2026 11:38:55"
"MovEst","EST\FILIAL\MovEst.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","34816","17","True","23/05/2026 11:38:55"
"MovEstCan","EST\FILIAL\MovEstCan.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","6","True","23/05/2026 11:38:55"
"MovEstEnc","EST\FILIAL\MovEstEnc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","6","True","23/05/2026 11:38:55"
"MovKit","EST\FILIAL\MovKit.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","4","True","23/05/2026 11:38:55"
"PedComItem","EST\FILIAL\PedComItem.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","16","True","23/05/2026 11:38:55"
"PedCompra","EST\FILIAL\PedCompra.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","18","True","23/05/2026 11:38:55"
"PedCompraCanc","EST\FILIAL\PedCompraCanc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","5","True","23/05/2026 11:38:56"
"PedConf","EST\FILIAL\PedConf.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","7","True","23/05/2026 11:38:56"
"PedConfItem","EST\FILIAL\PedConfItem.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","14","True","23/05/2026 11:38:56"
"PedVenConf","EST\FILIAL\PedVenConf.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","7","True","23/05/2026 11:38:56"
"PedVenConfItem","EST\FILIAL\PedVenConfItem.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","14","True","23/05/2026 11:38:56"
"PedVenda","EST\FILIAL\PedVenda.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","18","True","23/05/2026 11:38:56"
"PedVendaCanc","EST\FILIAL\PedVendaCanc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","5","True","23/05/2026 11:38:56"
"PedVenItem","EST\FILIAL\PedVenItem.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","16","True","23/05/2026 11:38:56"
"ArqLavSoft","Estruturas\ArqLavSoft.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","67584","9","True","23/05/2026 11:38:56"
"CamLavSoft","Estruturas\CamLavSoft.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","360448","7","True","23/05/2026 11:38:56"
"Familia","Estruturas\Familia.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","4096","2","True","23/05/2026 11:38:56"
"GruOp","Estruturas\GruOp.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","10240","5","True","23/05/2026 11:38:56"
"IndLavSoft","Estruturas\IndLavSoft.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","163840","12","True","23/05/2026 11:38:57"
"Inis","Estruturas\Inis.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","419840","11","True","23/05/2026 11:38:57"
"Janela","Estruturas\Janela.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","65536","5","True","23/05/2026 11:38:57"
"MigraNuvem","Estruturas\MigraNuvem.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","77824","9","True","23/05/2026 11:38:57"
"Municipios","Estruturas\Municipios.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","817152","4","True","23/05/2026 11:38:57"
"NFeConf","Estruturas\NFeConf.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","4096","5","True","23/05/2026 11:38:57"
"Op","Estruturas\Op.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","221184","7","True","23/05/2026 11:38:57"
"Op_teste","Estruturas\Op_teste.db","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","26624","8","True","23/05/2026 11:38:57"
"Op1","Estruturas\Op1.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","321536","7","True","23/05/2026 11:38:57"
"Parametros","Estruturas\Parametros.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","1198080","16","True","23/05/2026 11:38:57"
"ParamGrupo","Estruturas\ParamGrupo.db","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","4096","2","True","23/05/2026 11:38:57"
"ParamOpcao","Estruturas\ParamOpcao.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","133120","4","True","23/05/2026 11:38:57"
"resttemp","Estruturas\resttemp.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","3368960","13","True","23/05/2026 11:38:57"
"Sistemas","Estruturas\Sistemas.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","24576","8","True","23/05/2026 11:38:58"
"TipAdv","Estruturas\TipAdv.db","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","6144","2","True","23/05/2026 11:38:58"
"Traducao","Estruturas\Traducao.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Estruturas","3438592","13","True","23/05/2026 11:38:58"
"VERIFY","Exe\VERIFY.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Exe","34816","9","True","23/05/2026 11:38:58"
"CadClaAlt","Filiais\MOVANTIGA\GER\DADOS\CadClaAlt.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\GER\DADOS","2048","6","True","23/05/2026 11:39:03"
"AjustaCad","Ger\Dados\AjustaCad.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","2048","7","True","23/05/2026 11:39:33"
