Dominio,Tabela,Caminho,TamanhoArquivo,QtdColunas,ClassesCampo,CamposPrincipais,Criticidade
config_admin,ProdKit,Ger\Filial\ProdKit.DB,2048,3,id_codigo:2; texto_observacao:1,CodPro; CodProKit; Obs,media
config_admin,ProdutImp,Ger\Filial\ProdutImp.DB,2048,4,outro:2; id_codigo:1; valor_monetario:1,CodPro; Campo; Conteudo; Valor,media
config_admin,ProFaiCom,Ger\Filial\ProFaiCom.DB,2048,4,id_codigo:2; outro:2,CodPro; CodFaiCom; ValCom; TipFaiCom,media
config_admin,ResCli,Ger\Filial\ResCli.DB,2048,5,outro:3; id_codigo:2,CodCli; CodPro; SeqResCli; DesResPro; OrdemImp,media
config_admin,ResPro,Ger\Filial\ResPro.DB,2048,5,outro:4; id_codigo:1,CodPro; SeqResPro; DesResPro; OrdemImp; SeqExporta,media
config_admin,tabmat,Ger\Filial\tabmat.db,2048,4,outro:2; id_codigo:1; produto_ref:1,Codmat; Desmat; Unidade; Estoque,media
config_admin,TimeSheet,Ger\Filial\TimeSheet.DB,2048,8,outro:4; id_codigo:2; valor_monetario:1; data_hora:1,SeqAtiv; DescAtiv; ProjAtiv; CodAtiv; DatLan; Duracao; Finalizado; CodUsuario,media
config_admin,CadAlu,Importa\ESC\FILIAL\CadAlu.DB,2048,26,outro:9; cliente_ref:7; id_codigo:3; data_hora:3; valor_monetario:3; texto_observacao:1,CodCont; NomAlu; EndAlu; CidAlu; EstAlu; CepAlu; DatNas; TelAluR; TelAluC; ComTelC; AluMaior; CodCli; SexAlu; RgAlu; CicAlu; CodCon; DescAlu; ObsAlu,media
config_admin,CadAul,Importa\ESC\FILIAL\CadAul.DB,2048,11,id_codigo:5; outro:2; texto_observacao:1; data_hora:1; cliente_ref:1; fiscal_documento:1,CodAul; CodTur; CodPro; CodMat; Obs; DatAul; MatDada; CargHor; Atraso; LanFal; CodHor,media
config_admin,CadCur,Importa\ESC\FILIAL\CadCur.DB,2048,6,valor_monetario:2; outro:2; id_codigo:1; texto_observacao:1,CodCur; DesCur; PreReq; PreReq2; Preco; Obs,media
config_admin,CadInt,Importa\ESC\FILIAL\CadInt.DB,2048,26,outro:12; id_codigo:5; cliente_ref:4; data_hora:4; texto_observacao:1,CodInt; NomInt; EndInt; CidInt; EstInt; CepInt; DatNas; TelInt; ComTelC; CodCur1; CodCur2; CodVen; CodCon; DatInt; DatCnt; Obs; DiaSem; HorIni,media
config_admin,CadMat,Importa\ESC\FILIAL\CadMat.DB,2048,3,id_codigo:1; outro:1; texto_observacao:1,CodMat; DesMat; Obs,media
config_admin,CadNot,Importa\ESC\FILIAL\CadNot.DB,2048,5,id_codigo:3; outro:1; fiscal_documento:1,CodCont; CodTur; CodMat; Seq; Nota,media
config_admin,CadPre,Importa\ESC\FILIAL\CadPre.DB,2048,3,id_codigo:2; outro:1,CodAul; CodCont; Presenca,media
config_admin,CadRes,Importa\ESC\FILIAL\CadRes.DB,2048,34,outro:12; cliente_ref:12; id_codigo:3; texto_observacao:3; data_hora:2; status_situacao:2,CodCont; NomRes; EndRes; CidRes; EstRes; CepRes; DatNasR; TelResR; TelResC; ComResC; RgRes; CicRes; ObsRes; SitRes2; SitRes; NomRes2; EndRes2; CidRes2,media
config_admin,CadTur,Importa\ESC\FILIAL\CadTur.DB,2048,16,outro:8; id_codigo:4; data_hora:2; texto_observacao:1; cliente_ref:1,CodTur; DesTur; CodCur; PreCur; QdeAlu; ObsTur; DatIni; DatFim; CargHor; DiaSem; CodPro; ValMat; HorIni; HorFim; Encena; CodHor,media
config_admin,MovPdv,Importa\ESC\FILIAL\MovPdv.DB,2048,11,id_codigo:5; outro:2; valor_monetario:2; data_hora:1; texto_observacao:1,CodPdv; SeqLan; CodTur; CodCont; Qde; ValorUni; ValorFinal; DatLan; Obs; NumNot; CodUsuario,media
config_admin,AvisoContEti,Lav\FILIAL\AvisoContEti.DB,2048,11,outro:3; id_codigo:2; status_situacao:2; ordem_rol_ref:1; valor_monetario:1; quantidade:1; data_hora:1,Rol; CodPro; SeqPro; DescAviso; Quantidade; QdeSaida; Diferenca; Baixa; DatBaixa; ObsBaixa; CodCli,media
config_admin,Bonus,Lav\FILIAL\Bonus.DB,2048,7,id_codigo:3; outro:2; data_hora:1; texto_observacao:1,Campanha; Chave; DatBon; HorBon; CodUsuario; CodVen; Obs,media
config_admin,CadGR,Lav\FILIAL\CadGR.DB,2048,2,id_codigo:1; data_hora:1,NumGR; DatLan,media
config_admin,CadLoc,Lav\FILIAL\CadLoc.DB,34816,12,id_codigo:4; outro:4; ordem_rol_ref:2; status_situacao:1; cliente_ref:1,CodLoc; DesLoc; TipLoc; Rol; Prioridade; Bloqueia; Cancelado; CodPro; SeqPro; TamPeca; RegCodLoc; CodCli,media
config_admin,CadLocPec,Lav\FILIAL\CadLocPec.DB,9209856,20,outro:7; id_codigo:6; data_hora:4; ordem_rol_ref:1; status_situacao:1; fiscal_documento:1,Rol; CodPro; SeqPro; CodLoc; Situacao; DatPrevEnt; DatEnt; CodVen; HorPrevEnt; HorEnt; NumNot; SeqExport; NotaFis; CodPas; DatPas; HorPas; GeraAutom; CodVenEst,media
config_admin,CadLocReg,Lav\FILIAL\CadLocReg.DB,2048,6,texto_observacao:2; id_codigo:1; outro:1; cliente_ref:1; data_hora:1,RegCodLoc; DesReg; ObsReg; Cancelado; MotivoCan; DatCan,media
config_admin,CliPromAcu,Lav\FILIAL\CliPromAcu.DB,2048,3,id_codigo:2; outro:1,CodCli; CodProm; QdeAcum,media
config_admin,ContIdent,Lav\FILIAL\ContIdent.DB,2048,5,outro:2; id_codigo:2; ordem_rol_ref:1,Grupo; Identif; Rol; CodPro; SeqPro,media
config_admin,Disp,Lav\FILIAL\Disp.DB,2048,6,id_codigo:3; valor_monetario:2; ordem_rol_ref:1,CodAp; IdAp; Descricao; DescAbr; ImpRol; CodApAbr,media
config_admin,Doacao,Lav\FILIAL\Doacao.DB,2048,8,outro:3; id_codigo:2; ordem_rol_ref:1; data_hora:1; status_situacao:1,Doacao; Rol; CodCli; NumNot; DatDoa; ValDoa; Status; MotCanc,media
config_admin,EncCaiLav,Lav\FILIAL\EncCaiLav.DB,2048,9,outro:4; data_hora:2; id_codigo:2; texto_observacao:1,DatEnc; TipEnc; CodUsuario; CodVen; Obs; HorEnc; DatEncSis; SeqExporta; HorEncIni,media
config_admin,EntLote,Lav\FILIAL\EntLote.DB,2048,16,data_hora:5; id_codigo:4; outro:2; usuario_auditoria:2; texto_observacao:2; cliente_ref:1,Seq; DataA; HoraA; Usuario; CodVen; Tipo; Obs; DataF; HoraF; CodVenF; UsuarioF; Cancelado; DatCan; MotivoCan; CodVenCan; CodEmpree,media
config_admin,EntMovLote,Lav\FILIAL\EntMovLote.DB,2048,9,outro:2; data_hora:2; id_codigo:2; ordem_rol_ref:1; quantidade:1; texto_observacao:1,Seq; Rol; Tipo; Data; Hora; CodVen; Quantidade; Obs; CodEmpree,media
config_admin,MetasGruPro,Lav\FILIAL\MetasGruPro.DB,2048,3,outro:1; texto_observacao:1; valor_monetario:1,GruVen; AnoMes; Valor,media
config_admin,MetasVen,Lav\FILIAL\MetasVen.DB,2048,3,outro:1; texto_observacao:1; valor_monetario:1,GruVen; AnoMes; Valor,media
config_admin,MovAgenda,Lav\FILIAL\MovAgenda.DB,2048,6,data_hora:2; cliente_ref:1; ordem_rol_ref:1; outro:1; id_codigo:1,SeqAgenda; Rol; DatAgen; HorAgen; Duracao; CodVen,media
config_admin,MovCabDes,Lav\FILIAL\MovCabDes.DB,34816,3,ordem_rol_ref:1; id_codigo:1; valor_monetario:1,Rol; CodDesc; Desconto,media
config_admin,MovDesc,Lav\FILIAL\MovDesc.DB,2048,11,id_codigo:3; outro:2; ordem_rol_ref:2; data_hora:2; quantidade:1; status_situacao:1,Seq; CodCli; CodDesc; RolOrigem; DatLan; RolDestino; DataUtilizada; Quantidade; CodProDestino; SeqProDestino; Status,media
config_admin,MovEntSai,Lav\FILIAL\MovEntSai.DB,2048,6,id_codigo:2; valor_monetario:2; ordem_rol_ref:1; outro:1,CodCli; CodPro; SaldoAnt; SaldoAtu; UltRol; UltSeq,media
config_admin,MovImportacao,Lav\FILIAL\MovImportacao.DB,2048,7,id_codigo:3; outro:2; data_hora:1; status_situacao:1,Seq; NumOs; CodAp; CodCli; DatLan; Status; GerPor,media
config_admin,MovItemDef,Lav\FILIAL\MovItemDef.DB,34816,5,id_codigo:2; outro:2; ordem_rol_ref:1,Rol; CodPro; SeqPro; CodDef; DesDef,media
config_admin,MovItemPac,Lav\FILIAL\MovItemPac.DB,2048,5,outro:2; ordem_rol_ref:1; id_codigo:1; status_situacao:1,Rol; CodPro; SeqPro; Seq; Status,media
config_admin,MovItemPro,Lav\FILIAL\MovItemPro.DB,2048,5,outro:2; ordem_rol_ref:1; id_codigo:1; texto_observacao:1,Rol; CodPro; SeqPro; Qde; Obs,media
config_admin,MovItemSer,Lav\FILIAL\MovItemSer.DB,37029888,11,id_codigo:3; outro:3; quantidade:2; ordem_rol_ref:1; texto_observacao:1; valor_monetario:1,Rol; CodPro; SeqPro; CodSerLav; Quantidade; Peso; PreUniSer; PreFinalSer; CodSerTer; Obs; ValorTerc,media
config_admin,MovItemSerPro,Lav\FILIAL\MovItemSerPro.DB,2048,8,id_codigo:4; outro:2; ordem_rol_ref:1; data_hora:1,Rol; CodPro; SeqPro; CodSerLav; CodPas; DatPas; CodVen; HorPas,media
config_admin,MovItemTin,Lav\FILIAL\MovItemTin.DB,2048,7,id_codigo:5; ordem_rol_ref:1; outro:1,Rol; CodPro; SeqPro; CodCor1; CodCor2; CodSerTer; CodTipTin,media
config_admin,MovLimite,Lav\FILIAL\MovLimite.DB,2048,3,outro:1; data_hora:1; ordem_rol_ref:1,SeqLimite; DatMesAno; CanUtilizados,media
config_admin,MovLimPro,Lav\FILIAL\MovLimPro.DB,67584,3,data_hora:1; id_codigo:1; outro:1,DatLan; CodSerLav; QdePonLan,media
config_admin,MovPacot,Lav\FILIAL\MovPacot.DB,2048,13,outro:5; id_codigo:3; data_hora:3; cliente_ref:1; quantidade:1,Seq; CodCli; CodPacote; GruPro; DatIni; DatFim; MedPec; TotValPec; TotValLcto; Cancelado; NumNot; VenctoOriginal; QtdRenovacao,media
config_admin,MovPecLav,Lav\FILIAL\MovPecLav.DB,2048,8,id_codigo:4; outro:2; data_hora:1; ordem_rol_ref:1,CodPas; CodArea; DatLan; HorLan; Rol; CodPro; SeqPro; CodFil,media
config_admin,MovPontos,Lav\FILIAL\MovPontos.DB,264192,6,outro:2; id_codigo:2; data_hora:1; ordem_rol_ref:1,Seq; DatLan; CodCli; Pontos; DesPremio; CodVen,media
config_admin,MovRetirada,Lav\FILIAL\MovRetirada.DB,2048,22,id_codigo:6; outro:5; data_hora:3; texto_observacao:3; ordem_rol_ref:3; status_situacao:1; cliente_ref:1,SeqRetira; CodCli; DatLan; HorLan; DatRet; HorRet; Obs; CodVen; CodUsuario; Status; Cancelado; DatCan; MotivoCan; Rol; SeqExporta; Obs2; HorCan; CodVenCan,media
config_admin,MovSaida,Lav\FILIAL\MovSaida.DB,2048,12,id_codigo:4; data_hora:2; ordem_rol_ref:2; texto_observacao:2; outro:1; cliente_ref:1,Seq; CodCli; DatLan; Rol; Obs; Cancelado; MotivoCan; DatCan; CodTab; HorCan; CodVenCan; CodVen,media
config_admin,MovSaidaItem,Lav\FILIAL\MovSaidaItem.DB,2048,11,outro:6; valor_monetario:2; id_codigo:1; texto_observacao:1; produto_ref:1,Seq; CodPro; SeqPro; QdeSi; Obs; SaldoAnt; SaldoAtu; QdePrev; KG; GruPro; DesPro,media
config_admin,MovTerc,Lav\FILIAL\MovTerc.DB,2048,17,id_codigo:4; data_hora:4; outro:3; texto_observacao:3; cliente_ref:1; status_situacao:1; ordem_rol_ref:1,CodSerTer; CodFor; DatLan; ComForTer; TipForTer; CodUsuario; Obs; Cancelado; DatCan; MotivoCan; SeqExporta; Status; DatPrevEnt; Obs1; HorCan; CodVenCan; DatBaixa,media
config_admin,MovTerCom,Lav\FILIAL\MovTerCom.DB,2048,7,id_codigo:3; outro:2; ordem_rol_ref:1; fiscal_documento:1,CodSerTer; Rol; CodPro; SeqPro; CodSerLav; TipCom; Comissao,media
config_admin,MovTercPec,Lav\FILIAL\MovTercPec.DB,2048,8,id_codigo:3; outro:2; ordem_rol_ref:1; data_hora:1; status_situacao:1,CodSerTer; Rol; CodPro; SeqPro; CodSerLav; DatEnt; HorEnt; Status,media
config_admin,MovVenItem,Lav\FILIAL\MovVenItem.DB,2048,12,outro:6; id_codigo:3; ordem_rol_ref:1; data_hora:1; quantidade:1,CodVen; ROL; CodPro; SeqPro; Data; NotFat; CodFaiCom; ValPro; Taxa; ValMat; Quantidade; ValFaiCom,media
config_admin,NotComp,Lav\FILIAL\NotComp.DB,5113856,12,id_codigo:6; outro:6,NumNot; Seq; NumFat; NumDup; ValComp; CodFpg; NumDoc; SeqCai; TipSeq; SeqTaxa; CompDoc; NumFatIni,media
config_admin,NotFis,Lav\FILIAL\NotFis.DB,2048,16,fiscal_documento:3; ordem_rol_ref:3; outro:3; id_codigo:2; data_hora:2; texto_observacao:2; cliente_ref:1,NumNotFis; TipNota; Controle1; Controle2; DatEmi; ValNot; ValBasNot; PorISS; ISS; Obs1; Obs2; Cancelado; DatCanc; MotCanc; HorCan; CodVenCan,media
config_admin,NotFisConf,Lav\FILIAL\NotFisConf.DB,2048,3,id_codigo:1; outro:1; texto_observacao:1,ID; Conteudo; Obs,media
config_admin,NotFisE,Lav\FILIAL\NotFisE.DB,2048,16,outro:4; id_codigo:3; data_hora:3; status_situacao:2; texto_observacao:2; fiscal_documento:1; cliente_ref:1,SeqNfe; NumNot; CodCli; ValNot; DatEmi; SitNota; Obs; SeqSit; DatSit; DatVen; Instrucao; CodVencim; MotivoCan; SeqExporta; OmiteCpf; CaminhoPDF,media
config_admin,NotFisEComp,Lav\FILIAL\NotFisEComp.DB,2048,8,outro:3; produto_ref:2; quantidade:2; fiscal_documento:1,SeqNfe; SeqPro; DesPro; Quantidade; Peso; PreUniVen; PreFinal; Unidade,media
config_admin,AvisoRoupa,PEC\FILIAL\AvisoRoupa.DB,2048,16,outro:5; id_codigo:3; data_hora:3; usuario_auditoria:2; ordem_rol_ref:1; status_situacao:1; texto_observacao:1,SeqAviso; CodRoupa; DatLan; HorLan; CodUsuario; MotAviso; PosRoupa; ResUsuario; GeraAlerta; CodClaMan; DatMan; SitAviso; ObsAviso; DatProces; HorProces; UsuarioProces,media
config_admin,DupComp,REC\FILIAL\DupComp.DB,2048,4,id_codigo:2; outro:2,NumFat; NumDup; NomCampo; Campo,media
config_admin,DupIntTit,REC\FILIAL\DupIntTit.DB,2048,6,id_codigo:3; outro:2; status_situacao:1,NumFat; NumDup; NumTit; Seq; Status; Modulo,media
config_admin,DupMotAlt,REC\FILIAL\DupMotAlt.DB,2048,10,data_hora:4; id_codigo:3; texto_observacao:1; outro:1; usuario_auditoria:1,NumFat; NumDup; CodCli; DatAlt; MotAltDup; DiasAlt; Obs; ValDup; Usuario; DatMod,media
config_admin,DupReaj,REC\FILIAL\DupReaj.DB,2048,5,id_codigo:2; ordem_rol_ref:1; outro:1; status_situacao:1,NumFat; NumDup; PorcReaj; ValFinal; Status,media
config_admin,FatArq,REC\FILIAL\FatArq.DB,2048,9,outro:3; id_codigo:3; status_situacao:1; cliente_ref:1; data_hora:1,Seq; NumNot; NumFat; NumDup; ArqFat; ArqBoleto; Status; EnvioEmail; DataEnvio,media
config_admin,NotFisFin,REC\FILIAL\NotFisFin.DB,2048,11,fiscal_documento:5; outro:2; data_hora:1; id_codigo:1; cliente_ref:1; texto_observacao:1,Serie; NotFisFin; DatEmi; HorEmi; ValNota; CodUsuario; Cancelado; RecISS; RecIcms; RecIPI; Obs,media
config_admin,NotFisFinCan,REC\FILIAL\NotFisFinCan.DB,2048,6,fiscal_documento:1; outro:1; data_hora:1; ordem_rol_ref:1; id_codigo:1; texto_observacao:1,Serie; NotFisFin; DatCan; HorCan; CodUsuario; MotivoCan,media
config_admin,Remessa,REC\FILIAL\Remessa.DB,2048,8,data_hora:3; outro:2; id_codigo:1; texto_observacao:1; usuario_auditoria:1,SeqConta; Numero; Data; Hora; Observacao; Usuario; DatRet; HorRet,media
estoque,ProdEst,EST\DADOS\ProdEst.DB,2048,24,id_codigo:11; outro:5; fiscal_documento:4; produto_ref:1; cliente_ref:1; texto_observacao:1; data_hora:1,CodProEst; DesProEst; CodUniPro; GruProEst; TipConEst; CodCla; CodSubC; Cancelado; MotivoCan; DatCan; ArqImagem; CodMarEst; QdeEmb; CodCenCus; CodGruEst1; CodGruEst2; CodGruEst3; CodGruEst4,critica
estoque,ProdEstKit,EST\DADOS\ProdEstKit.DB,2048,3,id_codigo:3,CodPro; CodEst; CodKit,critica
estoque,ProdEstPac,EST\DADOS\ProdEstPac.DB,2048,3,id_codigo:2; outro:1,CodProEst; CodProEstP; Qde,critica
estoque,TabProdEst,EST\DADOS\TabProdEst.DB,2048,4,id_codigo:2; outro:2,CodTabEst; CodProEst; PreUni; Moeda,critica
estoque,MovEst,EST\FILIAL\MovEst.DB,34816,17,outro:6; id_codigo:6; data_hora:2; fiscal_documento:1; texto_observacao:1; cliente_ref:1,SeqLan; CodEst; CodProEst; DatLan; Qde; TipoES; ValTot; ValUnit; TipInteg; CodInteg; Obs; Cancelado; CodUsuario; CodClaEst; SeqExporta; CodFun; CFiscal,critica
estoque,MovEstCan,EST\FILIAL\MovEstCan.DB,2048,6,id_codigo:3; outro:1; data_hora:1; texto_observacao:1,CodEst; CodProEst; SeqLan; DatCan; MotivoCan; CodUsuario,critica
estoque,MovEstEnc,EST\FILIAL\MovEstEnc.DB,2048,6,id_codigo:3; outro:2; data_hora:1,CodEst; CodProEst; DatEnc; QdeEst; CodUsuario; SeqExporta,critica
estoque,ProdEst,Importa\EST\DADOS\ProdEst.DB,2048,18,id_codigo:10; outro:4; produto_ref:1; cliente_ref:1; texto_observacao:1; data_hora:1,CodProEst; DesProEst; CodUniPro; GruProEst; TipConEst; CodCla; CodSubC; Cancelado; MotivoCan; DatCan; ArqImagem; CodMarEst; QdeEmb; CodCenCus; CodGruEst1; CodGruEst2; CodGruEst3; CodGruEst4,critica
estoque,MovEst,Importa\EST\FILIAL\MovEst.DB,2048,15,outro:5; id_codigo:5; data_hora:2; fiscal_documento:1; texto_observacao:1; cliente_ref:1,SeqLan; CodEst; CodProEst; DatLan; Qde; TipoES; ValTot; ValUnit; TipInteg; CodInteg; Obs; Cancelado; CodUsuario; CodClaEst; SeqExporta,critica
estoque,MovEstLan,Lav\FILIAL\MovEstLan.DB,2048,6,outro:2; id_codigo:2; quantidade:1; data_hora:1,Sequencia; CodTab; CodPro; Quantidade; Tipo; DatLan,critica
financeiro,NotasEsc,ESC\FILIAL\NotasEsc.DB,2048,16,id_codigo:6; fiscal_documento:3; data_hora:2; outro:2; texto_observacao:2; cliente_ref:1,NumNot; CodCli; DatEmi; ValNot; CodUsuario; ValBasNot; TipNota; Obs; CodTransp; Cancelada; DataCanc; MotivoCanc; BaseISS; ISS; CodVen; NumNotFis,critica
financeiro,CliCredito,Lav\FILIAL\CliCredito.DB,34816,14,outro:5; id_codigo:3; data_hora:2; texto_observacao:1; cliente_ref:1; status_situacao:1; ordem_rol_ref:1,NumNot; CodCli; ValCre; DatCre; Integra; Obs; Cancelado; Sit; SeqExporta; DatVal; VerVal; CodPacote; QdeParc; Rol,critica
financeiro,FecCaixa,Lav\FILIAL\FecCaixa.DB,2048,3,outro:1; id_codigo:1; data_hora:1,SeqCaixa; CodUsuario; DatEnc,critica
financeiro,MovIniCaixa,Lav\FILIAL\MovIniCaixa.DB,2048,6,data_hora:2; outro:1; valor_monetario:1; cliente_ref:1; texto_observacao:1,Data; Seq; Valor; Cancelado; DatCan; MotivoCan,critica
financeiro,NotaFisPag,Lav\FILIAL\NotaFisPag.DB,2048,16,fiscal_documento:3; ordem_rol_ref:3; outro:3; id_codigo:2; data_hora:2; texto_observacao:2; cliente_ref:1,NumNotFis; TipNota; Controle1; Controle2; DatEmi; ValNot; ValBasNot; PorISS; ISS; Obs1; Obs2; Cancelado; DatCanc; MotCanc; HorCan; CodVenCan,critica
financeiro,Notas,Lav\FILIAL\Notas.DB,13043712,37,id_codigo:10; outro:9; fiscal_documento:4; ordem_rol_ref:4; data_hora:2; texto_observacao:2; quantidade:2; valor_monetario:2,NumNot; CodCli; DatEmi; ValNot; CodUsuario; ValBasNot; TipNota; Obs; CodTransp; Cancelada; DataCanc; MotivoCanc; BaseISS; ISS; CodVen; NumNotFis; Placa; CodEsp,critica
financeiro,PrevisaoPag,PAG\FILIAL\PrevisaoPag.DB,2048,9,id_codigo:4; data_hora:2; outro:1; valor_monetario:1; status_situacao:1,Seq; CodCla; CodSubC; CodFor; Valor; DatIni; DatFim; CodCenCus; Status,critica
financeiro,TitGru,PAG\FILIAL\TitGru.DB,2048,9,data_hora:4; texto_observacao:2; outro:1; id_codigo:1; cliente_ref:1,SeqGru; CodFor; DatEmi; DatVen; ValTit; Obs; Cancelado; DatCan; MotivoCan,critica
financeiro,TitGruLan,PAG\FILIAL\TitGruLan.DB,2048,8,outro:3; id_codigo:3; valor_monetario:1; texto_observacao:1,SeqGru; SeqGruLan; CodCla; CodSubC; CodCenCus; Valor; Obs; Documento,critica
financeiro,Titulos,PAG\FILIAL\Titulos.DB,67584,36,id_codigo:13; outro:9; data_hora:8; texto_observacao:3; status_situacao:2; cliente_ref:1,NumTit; Seq; DatEmi; DatVen; ValTot; ValTit; Baixa; DatPag; ValTitPag; CodFor; CodBan; CodAgeBan; ConCor; NumDev; ValDev; Obs; SeqCai; CodCla,critica
financeiro,Boletos,REC\FILIAL\Boletos.DB,2048,10,outro:5; id_codigo:2; data_hora:1; cliente_ref:1; status_situacao:1,BanCai; NossoNumero; DatEmi; HorEmi; ValBol; CodUsuario; Cancelado; SeqLot; Banco; Baixa,critica
financeiro,BoletosCan,REC\FILIAL\BoletosCan.DB,2048,6,id_codigo:2; outro:1; data_hora:1; ordem_rol_ref:1; texto_observacao:1,BanCai; NossoNumero; DatCan; HorCan; CodUsuario; MotivoCan,critica
financeiro,BoletosDupCan,REC\FILIAL\BoletosDupCan.DB,2048,4,id_codigo:3; outro:1,BanCai; NossoNumero; NumFat; NumDup,critica
financeiro,BoletosLot,REC\FILIAL\BoletosLot.DB,2048,8,outro:4; data_hora:1; id_codigo:1; cliente_ref:1; status_situacao:1,SeqLot; DatEmi; HorEmi; CodUsuario; Cancelado; BanCai; Banco; Baixa,critica
financeiro,DupBoleto,REC\FILIAL\DupBoleto.DB,2048,16,id_codigo:6; outro:5; status_situacao:3; data_hora:2,Seq; NumFat; NumDup; DatEmi; CodUsuario; Conta; ValBoleto; URLBoleto; CodBarras; Mensagem; Status; Baixa; DatBaixa; ValBaixa; idTransacao; NumeroPedido,critica
financeiro,Duplicat,REC\FILIAL\Duplicat.DB,13701120,60,id_codigo:21; outro:21; data_hora:6; ordem_rol_ref:3; texto_observacao:3; status_situacao:2; fiscal_documento:2; cliente_ref:1,NumFat; NumDup; DatEmi; DatVen; ValFat; ValDup; EmiBol; Baixa; DatPag; ValDupPag; CodCli; EmitDup; CodFpg; CodCpg; CodBan; CodAgeBan; ConCor; NumDev,critica
financeiro,Anotacoes,SAT\FILIAL\Anotacoes.DB,2048,17,outro:6; data_hora:4; fiscal_documento:3; id_codigo:2; status_situacao:1; usuario_auditoria:1,SeqAnota; CodUsuario; DatAnota; HorAnota; DesAnota; SitAnota; DatAlerta; HorAlerta; ParUsuario; Titulo; SeqExporta; Vis; Lido; Importante; TipSat; CodSat; SeqOcor,critica
financeiro,NotaSat,SAT\FILIAL\NotaSat.DB,2048,10,id_codigo:3; outro:3; data_hora:1; fiscal_documento:1; texto_observacao:1; cliente_ref:1,NumNotSat; CodCli; DatEmi; ValNot; CodUsuario; ValBasNot; TipNota; Obs; Cancelada; HorEmi,critica
financeiro,NotaSatCanc,SAT\FILIAL\NotaSatCanc.DB,2048,5,id_codigo:2; data_hora:1; ordem_rol_ref:1; texto_observacao:1,NumNotSat; DatCan; HorCan; MotivoCan; CodUsuario,critica
fiscal,NFeConf,Estruturas\NFeConf.DB,4096,5,outro:2; id_codigo:1; valor_monetario:1; texto_observacao:1,ID; Campo; Descricao; Obs; Grupo,alta
fiscal,CadDesatCli,Ger\Dados\CadDesatCli.DB,2048,2,id_codigo:1; outro:1,CodMotDes; DesMotDes,alta
fiscal,CamRecFil,REC\FILIAL\CamRecFil.DB,2048,7,id_codigo:3; outro:2; valor_monetario:1; data_hora:1,NumFat; NumDup; Arquivo; Campo; DesCampo; DatLan; CodUsuario,alta
fiscal,ArqDocum,SAT\DADOS\ArqDocum.DB,2048,9,outro:7; usuario_auditoria:1; texto_observacao:1,SeqArq; NomDocum; Caminho; UsuarioArq; ArqBD; Obs; TipArq; CaminhoDes; PlanX,alta
fiscal,CadAjuDoc,SAT\DADOS\CadAjuDoc.DB,2048,9,outro:7; texto_observacao:1; data_hora:1,ArqDoc; Rotina; Arquivo; Campo; Obs; Linha; Coluna; Tipo; TrocaDe,alta
fiscal,CadClaAlt,SAT\DADOS\CadClaAlt.DB,2048,6,data_hora:2; id_codigo:1; valor_monetario:1; cliente_ref:1; texto_observacao:1,CodClaAlt; DesClaAlt; ObsClaAlt; Cancelado; MotivoCan; DatCan,alta
fiscal,CadSatCla,SAT\DADOS\CadSatCla.DB,2048,9,fiscal_documento:3; texto_observacao:2; id_codigo:1; outro:1; cliente_ref:1; data_hora:1,CodSatCla; DesSatCla; ObsSatCla; CorSatCla; PrioridCor; Cancelado; MotivoCan; DatCan; CorSatClaF,alta
fiscal,CadSatSit,SAT\DADOS\CadSatSit.DB,2048,9,status_situacao:4; id_codigo:1; outro:1; cliente_ref:1; texto_observacao:1; data_hora:1,CodSatSit; DesSatSit; ObsSatSit; CorSatSit; PrioridCor; Cancelado; MotivoCan; DatCan; CorSatSitF,alta
fiscal,CadSatSubC,SAT\DADOS\CadSatSubC.DB,2048,6,texto_observacao:2; id_codigo:1; fiscal_documento:1; cliente_ref:1; data_hora:1,CodSatSubC; DesSatSubC; ObsSatSubC; Cancelado; MotivoCan; DatCan,alta
fiscal,CadSatTip,SAT\DADOS\CadSatTip.DB,2048,9,fiscal_documento:3; texto_observacao:2; id_codigo:1; outro:1; cliente_ref:1; data_hora:1,CodSatTip; DesSatTip; ObsSatTip; CorSatTip; PrioridCor; Cancelado; MotivoCan; DatCan; CorSatTipF,alta
fiscal,CadSubCAlt,SAT\DADOS\CadSubCAlt.DB,2048,6,data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1,CodSubCAlt; DesSubCAlt; ObsSubCAlt; Cancelado; MotivoCan; DatCan,alta
fiscal,CadTipAlt,SAT\DADOS\CadTipAlt.DB,2048,6,data_hora:3; id_codigo:1; cliente_ref:1; texto_observacao:1,CodTipAlt; DesTipAlt; ObsTipAlt; Cancelado; MotivoCan; DatCan,alta
fiscal,CadVer,SAT\DADOS\CadVer.DB,2048,2,id_codigo:2,CodSis; CodVer,alta
fiscal,CompAlt,SAT\DADOS\CompAlt.DB,2048,6,data_hora:2; id_codigo:1; valor_monetario:1; cliente_ref:1; texto_observacao:1,CodCompAlt; DesCompAlt; Cancelado; DatCan; MotivoCan; ObsCompAlt,alta
fiscal,Documentos,SAT\DADOS\Documentos.DB,2048,4,outro:4,NomDoc; Finalidade; Caminho; Atributo,alta
fiscal,ErrosSat,SAT\DADOS\ErrosSat.DB,2048,7,id_codigo:4; outro:3,CodErro; DesErro; DesErroCom; Solucao; CodSatCla; CodSatSubC; CodSatGru,alta
