Dominio,Tabela,Caminho,TamanhoArquivo,QtdColunas,ClassesCampo,CamposPrincipais,Criticidade
cliente,GruClientes4,Ger\Dados\GruClientes4.DB,2048,12,outro:3; cliente_ref:3; texto_observacao:2; data_hora:1; ordem_rol_ref:1; id_codigo:1; valor_monetario:1,GruCli; DesGrupo; ObsGrupo; CorGrupo; CorGrupoF; PrioridGru; Cancelado; MotivoCan; DatCan; HorCan; CodVenCan; Desconto,critica
cliente,EstCli,Lav\FILIAL\EstCli.DB,2048,24,data_hora:8; outro:8; id_codigo:3; quantidade:3; valor_monetario:2,CodCli; CodPro; DatLan; CodCor; Quant_Prev; Quant_Real; MedLan; UltLan2; UltLan3; UltLan4; UltLan5; UltLan1; QdeMinLan; QdeMaxLan; DatMinLan; DatMaxLan; DatUltLan1; DatUltLan2,critica
cliente,FunCli,PEC\DADOS\FunCli.DB,2048,25,outro:14; id_codigo:4; cliente_ref:3; texto_observacao:2; data_hora:1; status_situacao:1,CodCli; CodFun; NomFun; EndFun; BaiFun; CidFun; EstFun; CepFun; DatAdm; ChapaFun; SitFun; CodCenCus; Box; Obs1; Obs2; Cancelado; TamRoupa; Gaveta,critica
cliente,FunCliCan,PEC\DADOS\FunCliCan.DB,2048,5,id_codigo:3; data_hora:1; texto_observacao:1,CodCli; CodFun; DatCan; MotivoCan; CodUsuario,critica
cliente,FunCliRou,PEC\DADOS\FunCliRou.DB,2048,20,id_codigo:8; outro:7; status_situacao:1; data_hora:1; texto_observacao:1; produto_ref:1; valor_monetario:1,CodRoupa; CodCli; CodFun; CodPro; SitRoupa; DatCad; ObsRoupa; CodCor; Modelo; TamRoupa; FatPre01; CodDef; CodTipTec; Seq; ImpEti; QdeProc; VidaUtil; IntAval,critica
cliente,FunCliRouM,PEC\DADOS\FunCliRouM.DB,2048,16,id_codigo:6; data_hora:3; outro:3; status_situacao:2; usuario_auditoria:1; cliente_ref:1,CodRoupa; CodClaMan; DatMan; CodUsuario; CompMan; CodFun; SitMan; CodFor; DatRet; HorRet; RetUsuario; Cancelado; BaiSaida; CodCli; DatBaixa; HorBaixa,critica
cliente,FunCliRouP,PEC\DADOS\FunCliRouP.DB,2048,6,id_codigo:4; data_hora:1; outro:1,CodRoupa; CodClaPer; DatPer; CodUsuario; CompPer; CodFun,critica
cliente,FunCliRouUni,PEC\DADOS\FunCliRouUni.DB,2048,5,id_codigo:3; outro:2,CodCli; CodFun; CodPro; TamRoupa; Qde,critica
config_admin,CadAlu,ESC\FILIAL\CadAlu.DB,2048,26,outro:9; cliente_ref:7; id_codigo:3; data_hora:3; valor_monetario:3; texto_observacao:1,CodCont; NomAlu; EndAlu; CidAlu; EstAlu; CepAlu; DatNas; TelAluR; TelAluC; ComTelC; AluMaior; CodCli; SexAlu; RgAlu; CicAlu; CodCon; DescAlu; ObsAlu,media
config_admin,CadAul,ESC\FILIAL\CadAul.DB,2048,11,id_codigo:5; outro:2; texto_observacao:1; data_hora:1; cliente_ref:1; fiscal_documento:1,CodAul; CodTur; CodPro; CodMat; Obs; DatAul; MatDada; CargHor; Atraso; LanFal; CodHor,media
config_admin,CadCur,ESC\FILIAL\CadCur.DB,2048,6,valor_monetario:2; outro:2; id_codigo:1; texto_observacao:1,CodCur; DesCur; PreReq; PreReq2; Preco; Obs,media
config_admin,CadInt,ESC\FILIAL\CadInt.DB,2048,26,outro:12; id_codigo:5; cliente_ref:4; data_hora:4; texto_observacao:1,CodInt; NomInt; EndInt; CidInt; EstInt; CepInt; DatNas; TelInt; ComTelC; CodCur1; CodCur2; CodVen; CodCon; DatInt; DatCnt; Obs; DiaSem; HorIni,media
config_admin,CadMat,ESC\FILIAL\CadMat.DB,2048,3,id_codigo:1; outro:1; texto_observacao:1,CodMat; DesMat; Obs,media
config_admin,CadMatComp,ESC\FILIAL\CadMatComp.DB,2048,4,id_codigo:2; status_situacao:1; quantidade:1,CodCur; CodMat; MedAprov; Peso,media
config_admin,CadNot,ESC\FILIAL\CadNot.DB,2048,5,id_codigo:3; outro:1; fiscal_documento:1,CodCont; CodTur; CodMat; Seq; Nota,media
config_admin,CadPre,ESC\FILIAL\CadPre.DB,2048,3,id_codigo:2; outro:1,CodAul; CodCont; Presenca,media
config_admin,CadRes,ESC\FILIAL\CadRes.DB,2048,34,outro:12; cliente_ref:12; id_codigo:3; texto_observacao:3; data_hora:2; status_situacao:2,CodCont; NomRes; EndRes; CidRes; EstRes; CepRes; DatNasR; TelResR; TelResC; ComResC; RgRes; CicRes; ObsRes; SitRes2; SitRes; NomRes2; EndRes2; CidRes2,media
config_admin,CadTur,ESC\FILIAL\CadTur.DB,2048,16,outro:8; id_codigo:4; data_hora:2; texto_observacao:1; cliente_ref:1,CodTur; DesTur; CodCur; PreCur; QdeAlu; ObsTur; DatIni; DatFim; CargHor; DiaSem; CodPro; ValMat; HorIni; HorFim; Encena; CodHor,media
config_admin,CompTurmas,ESC\FILIAL\CompTurmas.DB,2048,13,outro:5; id_codigo:3; data_hora:3; valor_monetario:1; texto_observacao:1,CodTur; CodCont; CodVen; IndMat; DatIniPg; DatProxima; TipoParc; DescAlu; QdeParc; DatMat; DiaPgto; ValCur; Obs,media
config_admin,MovPdv,ESC\FILIAL\MovPdv.DB,2048,11,id_codigo:5; outro:2; valor_monetario:2; data_hora:1; texto_observacao:1,CodPdv; SeqLan; CodTur; CodCont; Qde; ValorUni; ValorFinal; DatLan; Obs; NumNot; CodUsuario,media
config_admin,NotCompEsc,ESC\FILIAL\NotCompEsc.DB,2048,8,id_codigo:5; outro:3,NumNot; Seq; NumFat; NumDup; ValComp; CodFpg; NumDoc; SeqCai,media
config_admin,MovKit,EST\FILIAL\MovKit.DB,2048,4,id_codigo:2; outro:1; data_hora:1,Seq; CodKit; CodFun; DatLan,media
config_admin,PedComItem,EST\FILIAL\PedComItem.DB,2048,16,outro:7; fiscal_documento:5; status_situacao:2; id_codigo:1; valor_monetario:1,SeqPed; CodProEst; SeqPro; ValUnit; Qde; Disp1; SeqConf; ValFinal; DescItem; Confirmado; ObsItem; Cfop; IPI; ICMS; CFiscal; SitTrib,media
config_admin,PedCompra,EST\FILIAL\PedCompra.DB,2048,18,outro:6; id_codigo:5; data_hora:2; valor_monetario:2; cliente_ref:1; status_situacao:1; texto_observacao:1,SeqPed; DatPed; CodFor; Cancelado; Disp1; NotFisPed; DatConfPed; ValTotal; Baixa; CodEst; DescPed; Contato; CodVen; NumOS; OBS; CodCon; EmitNot; EmitBol,media
config_admin,PedCompraCanc,EST\FILIAL\PedCompraCanc.DB,2048,5,outro:1; data_hora:1; ordem_rol_ref:1; texto_observacao:1; id_codigo:1,SeqPed; DatCan; HorCan; MotivoCan; CodUsuario,media
config_admin,PedConf,EST\FILIAL\PedConf.DB,2048,7,outro:2; fiscal_documento:1; data_hora:1; ordem_rol_ref:1; cliente_ref:1; id_codigo:1,SeqPed; SeqConf; DatConf; HorConf; Cancelado; Contato; NumNotFis,media
config_admin,PedConfItem,EST\FILIAL\PedConfItem.DB,2048,14,outro:6; fiscal_documento:4; id_codigo:2; status_situacao:2,SeqPed; CodProEst; SeqPro; SeqConf; ValUnit; Qde; SeqLan; CodEst; ObsItem; Cfop; IPI; ICMS; CFiscal; SitTrib,media
config_admin,PedVenConf,EST\FILIAL\PedVenConf.DB,2048,7,outro:2; fiscal_documento:1; data_hora:1; ordem_rol_ref:1; cliente_ref:1; id_codigo:1,SeqPed; SeqConf; DatConf; HorConf; Cancelado; Contato; NumNotFis,media
