"Directory","Table","Field","Class","DataType","NonEmpty","DistinctTracked","Evidence"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodUsuarioAnal","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","DatPrevSol","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","DatPrevExec","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodUsuarioResp","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","Conclusao","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","DatConc","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","HorConc","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodUsuarioConc","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodContCon","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodMelhor","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","ObsMelhor","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodUsuarioMel","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","DescAnalise","valor","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodUsuAprov","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","DatAprov","status","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","HorAprov","status","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodRespConclu","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","HorExec","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","ObsAprov","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","Cancelado","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","UsuAprov","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","DatCan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","HorCan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","MotivoCan","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","UsuarioCan","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","Status","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","Depto","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","Versao","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","StatusInf","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodUsuAprovCom","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","StatusAprovCom","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","UsuAprovCom","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","DatAprovCom","status","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","HorAprovCom","status","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodRespAnalise","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","DatSegAna","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","HorSegAna","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","SegAnalise","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","QtdadeHorasDes","quantidade","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","CodUsuarioConclu","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","Prioridade","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","MovControle","Rotina","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","NumNotSat","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","CodCli","cliente","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","DatEmi","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","ValNot","valor","System.Double","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","CodUsuario","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","ValBasNot","valor","System.Double","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","TipNota","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","Obs","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","Cancelada","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSat","HorEmi","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSatCanc","NumNotSat","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSatCanc","DatCan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSatCanc","HorCan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSatCanc","MotivoCan","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","NotaSatCanc","CodUsuario","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","SeqSatCli","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodCli","cliente","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","DatLan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","HorLan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodSatTip","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","Descricao","valor","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodSatSit","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodUsuario","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","SatPara","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","Contactant","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","Contactad","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodSatCla","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","Cancelado","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","DatSolucao","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","HorSolucao","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","ExportaSat","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodSatSubC","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","DatPrevSol","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","HorPrevSol","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodSatTipS","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","UsuSolucao","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","Solucao","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","SeqOcor","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","TipContato","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodSatGru","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","NumNotSat","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodErro","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","DatLanFim","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","HorLanFim","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","HorPrevSolF","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodSatPad","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","CodProces","produto","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCli","SeqProcCad","data","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","CodCli","cliente","System.String","4302","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","SeqOcor","outro","System.Int32","4303","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","SitOcor","status","System.String","4303","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","CodUsuario","usuario","System.String","4303","14","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","Obs","outro","System.String","4303","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","DatLan","data","System.DateTime","4303","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","HorLan","data","System.DateTime","4303","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","DatPrevSol","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","DatSol","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","HorSol","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","SatPara","outro","System.String","4303","14","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","DatAlerta","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","HorAlerta","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","DatPrevOri","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","CodOcorCla","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","CodOcorSubC","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","Importante","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","BloqVisual","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","ValOcor","valor","System.Double","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","CodProces","produto","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","SeqProcCad","data","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","SeqSatFor","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodFor","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","DatLan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","HorLan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodSatTip","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","Descricao","valor","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodSatSit","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodUsuario","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","SatPara","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","Contactant","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","Contactad","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodSatCla","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","Cancelado","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","DatSolucao","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","HorSolucao","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","ExportaSAT","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodSatSubC","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","DatPrevSol","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","HorPrevSol","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodSatTipS","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","UsuSolucao","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","Solucao","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","SeqOcor","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","TipContato","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodSatGru","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodErro","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","DatLanFim","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","HorLanFim","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","HorPrevSolF","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodSatPad","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","CodProces","produto","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatFor","SeqProcCad","data","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","CodFor","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","SeqOcor","outro","System.Int32","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","SitOcor","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","CodUsuario","usuario","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","Obs","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","DatLan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","HorLan","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","DatPrevSol","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","DatSol","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","HorSol","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","SatPara","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","DatAlerta","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","HorAlerta","outro","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","DatPrevOri","data","System.DateTime","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","CodOcorCla","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","CodOcorSubC","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","Importante","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","BloqVisual","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","ValOcor","valor","System.Double","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatForOcor","CodProces","produto","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
