"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","DatCad","HorCad","ResUsuario"
"","ATENDJR","QL001","LAVSOFT","","FormadePagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","GravaColunas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","GrupoEntradas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Importacao1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Listagem1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Localizacao1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","LogSistema1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MalaDiretaRemetente1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Manutencao1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Marcas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MenuEntradaRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovGrupoClientes1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovProAna1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovProAnaSer1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovProSin1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovProdServ1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoAnalitico1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoAnaliticoEntrada1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoEntradaSaidaSinttico1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoPorServicoSintetico1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoPorServicosExecutados1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoPorServicosPeso1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoProduto1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoProdutoMensal1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
