"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","ResUsuario"
"","ATENDJR","QL001","LAVSOFT","","PrevisoEntrega1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ROlsPagos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RSL1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ReciboCaixa1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelControlePontos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelEstoquenoCli1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelFatPrecos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelFreCli1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelatConfRol1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelatorioparaEntrega1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ResFatDiaDia1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ResFatNotFis1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ResTipTabEmp1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ResTipTabGru1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Resumida1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ResumoPorEmpree1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RolsCancelados1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","SB_MudaValBase","","","","",""
"","ATENDJR","QL001","LAVSOFT","","SaldoControleEntrada1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","SituacaodoRols1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","TabeladePreco1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","TiposdeDescontos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","TiposdeEntrada1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","TiposdeServico1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","TiposdeTecido1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","TransporteporNota1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Usuarios1","","","","",""
"","FRANQ","QL001","LAVSOFT","","Parametros1","","","","",""
"","PERFATEND","QL001","LAVSOFT","","Alterao1","","","","",""
