"CodUsuario","CodSistema","Status"
"ANA","ALERTA",""
"ANA","ESTOQUE",""
"ANA","FINANCEIRO",""
"ANA","FRANLAV",""
"ANA","LAVSOFT",""
"ANA","MANUTENCAO",""
"ANA","PCP",""
"ANA","PECLAV",""
"ANA","PECWEB",""
"ANA","SAT",""
"ANA","SENHAS",""
"ANA","TRIAGEM",""
"PONTO","ALERTA",""
"PONTO","ESTOQUE",""
"PONTO","FINANCEIRO",""
"PONTO","FRANLAV",""
"PONTO","MANUTENCAO",""
"PONTO","PCP",""
"PONTO","PECLAV",""
"PONTO","PECWEB",""
"PONTO","SAT",""
"PONTO","TRIAGEM",""
