"Name","Path","RuleName","Action","Status"
"LavFacilLan.exe","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavFacilLan.exe","EquipeExe MOD Block Outbound - LavFacilLan.exe","failed","Acesso negado. "
"Estoque.exe","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\Estoque.exe","EquipeExe MOD Block Outbound - Estoque.exe","failed","Acesso negado. "
"LiveUpdate.exe","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LiveUpdate.exe","EquipeExe MOD Block Outbound - LiveUpdate.exe","failed","Acesso negado. "
