"ImportedDll","Count","Files"
"shell32.dll","29","LavFacilLan.exe; Alerta.exe; Backup.exe; ConfigXP2000.exe; dbd32.exe; dbsrv32.dll; EquConfig.exe; EquEstruAtu.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; Idct.exe; ImpAutomLavSoft.exe; LavSoft.exe; LiveUpdate.exe; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; NFE.exe; qtintf.dll; qtintf70.dll; SAT.exe; TrocaWordExcel.exe"
"mpr.dll","13","LavFacilLan.exe; Alerta.exe; Conexoes.exe; dbsrv32.dll; EqEmail.exe; EquMail.exe; Financ.exe; Financeiro.exe; GDS32.DLL; ImpAutomLavSoft.exe; LavSoft.exe; TrocaWordExcel.exe"
"winmm.dll","10","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; CobreBemX.dll; EquEstruAtu.exe; Estoque.exe; Financeiro.exe; Pcp.exe; SAT.exe"
"qtintf70.dll","8","LavFacilLan.exe; LiveUpdate.exe; SAT.exe"
"DBSRV32.dll","7","dbd32.exe; dbdcrt32.dll; dbdide32.dll; dbdqbe32.dll; dbdsql32.dll; dbdutl32.dll; dbdvw32.dll"
"wininet.dll","6","LavFacilLan.exe; EquEstruAtu.exe; Estoque.exe; lotenfse.dll; NFE.exe"
"MSVCRT.dll","6","GDS32.DLL; NFE.exe; NImgConv.dll; ntwdblib.dll"
"wsock32.dll","6","Conexoes.exe; EqEmail.exe; EquMail.exe; GDS32.DLL; qtintf.dll; qtintf70.dll"
"BEMAFI32.DLL","4","LavFacilLan.exe; LavSoft.exe"
"MSVCRT40.dll","4","DAO350.DLL; NMOCOD.DLL; Cfx32.ocx; Nmocod.dll"
"mscoree.dll","4","Gerenciador-old.exe; Gerenciador.exe; NFSe_Util.dll; ZipForge.dll"
"general32.dll","3","LavFacilLan.exe; LavSoft.exe"
"DBDVW32.dll","3","dbdcrt32.dll; dbdqbe32.dll; dbdsql32.dll"
"MFC42.DLL","3","NImgConv.dll"
"Mp20fi32.dll","3","LavFacilLan.exe; LavSoft.exe"
"urlmon.dll","2","Daruma32_Ant.dll; Daruma32.dll"
"DBCOED32.dll","2","dbdvw32.dll; dbsrv32.dll"
"DBDCRT32.dll","2","dbdutl32.dll; dbdvw32.dll"
"DBDIDE32.dll","2","dbdqbe32.dll; dbdsql32.dll"
"NMSCKN.DLL","2","NMOCOD.DLL; Nmocod.dll"
"DBDQBE32.dll","2","dbdide32.dll; dbdsql32.dll"
"IMM32.DLL","2","qtintf.dll; qtintf70.dll"
"AVICAP32.dll","1","LeCamera.exe"
"Ax6r32.dll","1","BemaMFD.dll"
"BemaDP32.dll","1","Financ.exe"
"HSLOG20.dll","1","SYNC20.DLL"
"borlndmm.dll","1","lotenfse.dll"
"tutil32.dll","1","Tutil32.exe"
"msimg32.dll","1","NFE.exe"
"Tapi32.dll","1","SAT.exe"
"cw3220.DLL","1","general32.dll"
"PalmCmn.dll","1","SYNC20.DLL"
"DBDSQL32.dll","1","dbdide32.dll"
"LIBEAY32.dll","1","ssleay32.dll"
"lotenfse.dll","1","NFE.exe"
"NETAPI32.dll","1","ntwdblib.dll"
"WS2_32.dll","1","libeay32.dll"
"CMDS21.dll","1","SYNC20.DLL"
"MFC40.DLL","1","Cfx32.ocx"
