"File","FileName","Extension","Machine","ImportedDll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","comctl32.dll"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","winspool.drv"
"D:\AtelieProd\Equipexe\Exe\PEquPrev6.exe","PEquPrev6.exe",".exe","0x014C","comdlg32.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Exe\PTravaRelogio.exe","PTravaRelogio.exe",".exe","0x014C","gdi32.dll"
