Executavel,ArquivoLayout,Indice,TamanhoBytes,ComponentesTPrefix,TiposMaisFrequentes,PossuiQuery,PossuiGrid,PossuiMenu,PossuiRelatorio
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.100.txt,100,34581,435,Top:126; TabOrder:37; TLabel:23; TTable:21; Transparent:19; TMenuItem:15; TDataSource:11; TBevel:8,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.101.txt,101,33277,401,Top:114; TabOrder:32; TTable:21; TLabel:19; Transparent:19; TMenuItem:13; TDataSource:11; TX:8,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.102.txt,102,28295,241,Top:69; TabOrder:16; TLabel:14; TMenuItem:11; Transparent:10; TTable:7; TSpeedButton:7; TX:7,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.103.txt,103,26248,208,Top:58; TLabel:13; TabOrder:12; Transparent:10; TMenuItem:9; TX:8; TSpeedButton:7; TStringField:6,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.104.txt,104,36229,341,Top:114; TabOrder:40; TLabel:39; TMenuItem:14; Transparent:13; TEdit:13; Text:7; TPF0:6,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.105.txt,105,34721,317,Top:105; TabOrder:37; TLabel:35; Transparent:13; TEdit:13; TMenuItem:12; Text:7; TdE:6,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.106.txt,106,39695,429,Top:130; TabOrder:47; TLabel:34; TPanel:17; TTable:13; TEdit:13; Transparent:12; TStringField:12,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.107.txt,107,40537,480,Top:150; TabOrder:47; TLabel:46; Transparent:24; TPanel:18; TSpeedButton:17; TEdit:13; TTable:12,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.108.txt,108,40161,471,Top:147; TabOrder:46; TLabel:45; Transparent:24; TPanel:18; TSpeedButton:17; TEdit:12; TTable:12,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.109.txt,109,32755,336,Top:99; Transparent:24; TabOrder:23; TLabel:23; TPanel:18; TSpeedButton:18; TTable:12; TStringField:12,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.11.txt,11,33201,390,Top:87; TStringField:35; TabOrder:24; TLabel:24; Transparent:22; TMenuItem:15; TitleFont:10; TDataSource:9,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.110.txt,110,29354,221,Top:75; TabOrder:21; Transparent:20; TPanel:19; TSpeedButton:19; TLabel:19; TImage:11; TX:7,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.111.txt,111,26747,95,Top:32; Transparent:11; TLabel:10; TSpeedButton:10; TabOrder:7; TPanel:6; TImage:3; TX:3,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.112.txt,112,39000,553,Top:141; TMenuItem:56; TabOrder:45; TLabel:28; TStringField:27; TTable:20; TPanel:14; Transparent:11,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.113.txt,113,42650,619,Top:159; TabOrder:57; TMenuItem:52; TLabel:39; TStringField:27; Transparent:24; TTable:20; TComboBox:13,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.114.txt,114,42221,592,Top:148; TMenuItem:52; TabOrder:51; TLabel:35; TStringField:27; Transparent:24; TTable:20; TComboBox:13,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.115.txt,115,41752,553,Top:138; TMenuItem:45; TLabel:44; TabOrder:37; Transparent:35; TStringField:25; TTable:19; TComboBox:13,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.116.txt,116,52484,695,Top:187; TabOrder:87; TLabel:66; Transparent:61; TEdit:40; TStringField:25; TComboBox:17; TMenuItem:16,nao,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.117.txt,117,55238,765,Top:206; TabOrder:98; TLabel:72; Transparent:68; TEdit:47; TStringField:25; TComboBox:18; TMenuItem:16,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.118.txt,118,53803,686,Top:208; TabOrder:98; TLabel:83; Transparent:82; TEdit:47; TComboBox:18; Text:16; TMaskEdit:9,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.119.txt,119,50314,616,Top:183; TabOrder:87; Transparent:81; TLabel:74; TEdit:45; TComboBox:16; Text:14; TMaskEdit:9,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.12.txt,12,64121,802,Top:248; TabOrder:111; TLabel:99; Transparent:89; TEdit:40; TitleFont:25; TDBLookupCombo:24; TBevel:18,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.120.txt,120,40000,180,Top:55; TabOrder:20; TLabel:17; TPanel:15; Transparent:11; TSpeedButton:8; TitleFont:5; TImage:4,nao,sim,nao,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.121.txt,121,41788,414,Top:119; TabOrder:41; TLabel:31; Transparent:31; TitleFont:20; TCheckBox:20; Title:10; TImage:8,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.122.txt,122,31311,340,Top:85; TabOrder:35; TMenuItem:22; TitleFont:15; TEdit:14; TStringField:12; Text:10; TLabel:9,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.123.txt,123,30450,315,Top:77; TabOrder:28; TMenuItem:22; TitleFont:15; TEdit:13; TStringField:12; Text:10; TLabel:9,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.124.txt,124,24436,291,Top:72; TabOrder:24; TMenuItem:19; TitleFont:15; TLabel:13; TStringField:12; TEdit:12; Text:10,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.125.txt,125,40965,791,Top:258; TabOrder:143; TButton:47; TLabel:45; TEdit:31; Transparent:24; Text:21; TCheckBox:19,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.126.txt,126,41718,781,Top:255; TabOrder:138; TButton:46; TLabel:42; Transparent:31; TEdit:29; Text:21; Times:21,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.127.txt,127,61590,979,Top:321; TabOrder:124; Transparent:86; TQRLabel:53; TButton:46; Times:44; TLabel:42; TQRShape:24,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.128.txt,128,86503,1214,Top:391; Transparent:138; TabOrder:123; TQRLabel:84; Times:65; TButton:45; TLabel:37; TQRShape:35,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.129.txt,129,86768,1090,Top:343; Transparent:154; TQRLabel:97; TabOrder:80; Times:69; TButton:39; TQRShape:36; TQRDBText:32,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.13.txt,13,33877,466,TStringField:90; Top:64; TMenuItem:42; TTable:14; TabOrder:9; Transparent:8; TBooleanField:8; TLabel:7,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.130.txt,130,86688,1055,Top:331; Transparent:158; TQRLabel:101; Times:69; TabOrder:67; TQRShape:37; TButton:33; TQRDBText:32,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.131.txt,131,86662,1015,Top:317; Transparent:160; TQRLabel:101; Times:69; TabOrder:57; TQRShape:37; TQRDBText:32; TButton:31,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.132.txt,132,86342,901,Top:276; Transparent:171; TQRLabel:109; Times:69; TQRShape:44; TOUUUUU:34; TQRDBText:33; TQRBand:26,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.133.txt,133,86340,864,Top:265; Transparent:172; TQRLabel:112; Times:69; TQRShape:44; TOUUUUU:34; TQRDBText:33; TQRBand:26,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.134.txt,134,86168,870,Top:270; Transparent:171; TQRLabel:117; Times:58; TQRShape:56; TOUUUUU:41; TQRDBText:27; TQRBand:22,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.135.txt,135,86173,881,Top:274; Transparent:171; TQRLabel:109; Times:85; TQRShape:47; TQRDBText:32; TOUUUUU:29; TQRBand:25,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.136.txt,136,85906,865,Top:270; Transparent:175; TQRLabel:118; Times:76; TQRShape:43; TQRDBText:34; TOUUUUU:29; TQRBand:22,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.137.txt,137,85834,842,Top:268; Transparent:176; TQRLabel:122; Times:62; TQRShape:44; TQRDBText:30; TOUUUUU:24; TQRBand:19,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.138.txt,138,86229,826,Top:254; Transparent:188; TQRLabel:135; Times:69; TQRDBText:36; TQRShape:20; TQRBand:16; TQRSysData:15,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.139.txt,139,86199,806,Top:249; Transparent:194; TQRLabel:143; Times:50; TQRDBText:37; TQRShape:19; TQRBand:13; TQRSysData:10,sim,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.14.txt,14,30892,213,Top:67; Transparent:26; TLabel:24; TabOrder:23; TEdit:12; TSpeedButton:9; TPanel:6; TX:6,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.140.txt,140,86156,765,Top:241; Transparent:198; TQRLabel:156; TQRDBText:29; Times:26; TQRShape:20; Tb_Clientes:10; TQRMemo:9,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.141.txt,141,86166,762,Top:241; Transparent:196; TQRLabel:155; TQRDBText:28; Times:22; TQRShape:20; Tb_Clientes:10; Tb_MovTmpIt:9,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.142.txt,142,85887,789,Top:252; Transparent:195; TQRLabel:156; TQRShape:32; TQRDBText:26; TOUUUUU:19; Times:17; Tb_Clientes:13,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.143.txt,143,85948,804,Top:253; Transparent:196; TQRLabel:165; TQRShape:37; Times:33; TOUUUUU:23; TQRDBText:21; Tb_Clientes:13,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.144.txt,144,86272,803,Top:255; Transparent:186; TQRLabel:151; TQRShape:46; Times:42; TQRDBText:26; Tb_Clientes:17; TOUUUUU:15,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.145.txt,145,86320,773,Top:253; Transparent:177; TQRLabel:139; Times:47; TQRShape:40; TQRDBText:25; TQRBand:17; Tb_Clientes:10,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.146.txt,146,86173,756,Top:254; Transparent:169; TQRLabel:122; TQRShape:41; Times:37; TQRDBText:32; TQRBand:23; TQRSysData:15,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.147.txt,147,86096,776,Top:252; Transparent:180; TQRLabel:122; Times:50; TQRShape:34; TQRDBText:32; TQRBand:21; TQRSysData:15,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.148.txt,148,85813,773,Top:252; Transparent:186; TQRLabel:140; Times:45; TQRShape:35; TQRDBText:24; TQRBand:15; TQRSysData:12,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.149.txt,149,85938,776,Top:251; Transparent:194; TQRLabel:149; Times:44; TQRShape:33; TQRDBText:23; TQRBand:12; TQRSysData:11,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.15.txt,15,41079,176,Top:54; TabOrder:20; TLabel:17; TPanel:15; Transparent:11; TSpeedButton:7; TitleFont:5; TImage:4,nao,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.150.txt,150,85684,767,Top:249; Transparent:207; TQRLabel:173; Times:33; TQRShape:30; TQRMemo:15; TQRDBText:14; Tb_MovRetirada:8,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.151.txt,151,85391,734,Top:253; Transparent:212; TQRLabel:197; TQRShape:35; TQRMemo:15; TUUUUU:12; TQRBand:2; TQRImage:2,nao,sim,nao,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.152.txt,152,75287,823,Top:263; Transparent:133; TQRLabel:89; Times:73; TQRShape:45; TToolButton:31; TQRDBText:31; TOUUUUU:25,nao,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.153.txt,153,75307,814,Top:259; Transparent:133; TQRLabel:89; Times:73; TQRShape:45; TToolButton:31; TQRDBText:31; TOUUUUU:25,nao,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.154.txt,154,75281,791,Top:240; Transparent:133; TQRLabel:89; Times:73; TQRShape:45; TQRDBText:31; TOUUUUU:25; TMenuItem:21,nao,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.155.txt,155,65098,690,Top:210; Transparent:114; TQRLabel:79; Times:55; TQRShape:42; TOUUUUU:25; TQRDBText:25; TMenuItem:21,nao,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.156.txt,156,59180,617,Top:197; Transparent:96; TQRLabel:68; TQRShape:40; Times:26; TMenuItem:21; TQRDBText:17; TOUUUUU:15,nao,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.157.txt,157,57062,628,Top:193; Transparent:92; TQRLabel:59; Times:35; TQRShape:30; TMenuItem:21; TQRDBText:18; TToolButton:15,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.158.txt,158,42222,460,Top:131; Transparent:60; Times:34; TQRLabel:34; TMenuItem:21; TToolButton:15; TabOrder:14; Tb_GeraTmpAnal:14,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.159.txt,159,48846,503,Top:152; Transparent:65; Times:35; TQRLabel:34; TabOrder:31; TLabel:15; Tb_GeraTmpAnal:14; TQRDBText:13,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.16.txt,16,32875,314,Top:98; TabOrder:31; TLabel:24; Transparent:22; TMenuItem:14; TTable:10; TSpeedButton:9; TPanel:8,nao,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.160.txt,160,40764,412,Top:120; Transparent:43; Times:32; TabOrder:31; TLabel:16; Tb_GeraTmpAnal:14; TQRLabel:14; TQRDBText:13,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.161.txt,161,33874,334,Top:108; TabOrder:39; TLabel:34; Transparent:17; TSpeedButton:13; TPanel:8; TEdit:6; TRadioButton:6,sim,nao,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.162.txt,162,39513,424,Top:134; TabOrder:50; TLabel:36; TSpeedButton:15; Transparent:13; TMenuItem:12; TPanel:10; TTable:7,sim,nao,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.163.txt,163,37381,326,Top:103; TLabel:30; TabOrder:28; TSpeedButton:14; Transparent:13; TMenuItem:12; TPanel:10; TTable:7,sim,nao,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.164.txt,164,36894,317,Top:100; TLabel:29; TabOrder:27; TSpeedButton:14; Transparent:13; TMenuItem:12; TPanel:10; TTable:7,sim,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.165.txt,165,28740,168,Top:58; TLabel:20; Transparent:14; TSpeedButton:12; TMenuItem:11; TabOrder:9; TPanel:7; TdE:6,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.166.txt,166,25481,122,Top:41; TLabel:14; Transparent:14; TSpeedButton:10; TdE:6; TMenuItem:6; TImage:4; TabOrder:4,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.167.txt,167,18412,42,Top:18; TSpeedButton:15; TPF0:1; TTecladoAlfanumerico:1; TecladoAlfanumerico:1; Teclado:1; TextHeight:1; TImage:1,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.168.txt,168,16392,35,Top:15; TSpeedButton:12; TPF0:1; TTecladoNumerico:1; TecladoNumerico:1; Teclado:1; TextHeight:1; TImage:1,nao,nao,nao,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.169.txt,169,32324,302,Top:90; TabOrder:29; TLabel:27; TEdit:15; Transparent:14; Text:14; TSpeedButton:13; TX:12,nao,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.17.txt,17,30653,237,Top:60; TabOrder:19; TLabel:12; TStringField:11; Transparent:9; TMenuItem:9; TPanel:8; TdE:6,nao,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.170.txt,170,32379,284,Top:85; TabOrder:28; TLabel:26; TEdit:14; Text:14; TSpeedButton:13; Transparent:13; TMenuItem:10,nao,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.171.txt,171,34389,320,Top:85; TabOrder:28; TLabel:25; TMenuItem:17; TEdit:14; Text:14; TSpeedButton:14; Transparent:12,nao,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.172.txt,172,32004,232,Top:59; TMenuItem:17; TLabel:15; TSpeedButton:14; TabOrder:14; Transparent:12; TStringField:9; TX:8,nao,sim,sim,nao
